0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a a a a 0 2 2 0;a 2 2 a 0 a a 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.46473844;0.46473843; -0.18205476; -0.18205486; -0.14134237;0.14134237; -0.14134237;0.14134237; -0.32339724; -0.32339724; -0.32339724; -0.32339724;380
0.46817597;0.46817596; -0.17302320; -0.17302328; -0.14757690;0.14757690; -0.14757690;0.14757690; -0.32060021; -0.32060021; -0.32060021; -0.32060021;385
0.47136173;0.47136172; -0.16414596; -0.16414605; -0.15360839;0.15360839; -0.15360839;0.15360839; -0.31775446; -0.31775446; -0.31775446; -0.31775446;390
0.47429006;0.47429005; -0.15548225; -0.15548233; -0.15940440;0.15940440; -0.15940440;0.15940440; -0.31488675; -0.31488675; -0.31488675; -0.31488675;395
0.47696827;0.47696826; -0.14706145; -0.14706153; -0.16495389;0.16495389; -0.16495389;0.16495389; -0.31201544; -0.31201544; -0.31201544; -0.31201544;400
0.47940022;0.47940021; -0.13892891; -0.13892898; -0.17023612;0.17023612; -0.17023612;0.17023612; -0.30916513; -0.30916513; -0.30916513; -0.30916513;405
0.48159899;0.48159898; -0.13110394; -0.13110401; -0.17524798;0.17524798; -0.17524798;0.17524798; -0.30635201; -0.30635201; -0.30635201; -0.30635201;410
0.48357578;0.48357577; -0.12361355; -0.12361362; -0.17998155;0.17998155; -0.17998155;0.17998155; -0.30359519; -0.30359519; -0.30359519; -0.30359519;415
0.48534888;0.48534886; -0.11645743; -0.11645749; -0.18444614;0.18444614; -0.18444614;0.18444614; -0.30090366; -0.30090366; -0.30090366; -0.30090366;420
0.48692994;0.48692992; -0.10965910; -0.10965915; -0.18863583;0.18863583; -0.18863583;0.18863583; -0.29829500; -0.29829500; -0.29829500; -0.29829500;425
0.48833873;0.48833872; -0.10320454; -0.10320459; -0.19256749;0.19256749; -0.19256749;0.19256749; -0.29577210; -0.29577210; -0.29577210; -0.29577210;430
0.48958883;0.48958882; -0.09710144; -0.09710149; -0.19624407;0.19624407; -0.19624407;0.19624407; -0.29334558; -0.29334558; -0.29334558; -0.29334558;435
0.49069606;0.49069605; -0.09134167; -0.09134171; -0.19967756;0.19967756; -0.19967756;0.19967756; -0.29101930; -0.29101930; -0.29101930; -0.29101930;440
