0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;a a 2 0 0 a 2 a;0 a 2 a a a 2 0;a 2 a 0 0 2 a a;0 2 a a a 2 a 0;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;Z
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;440
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;445
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;450
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;455
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;460
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;465
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;470
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;475
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;480
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;485
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;490
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;495
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;500
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;505
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;510
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;515
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;520
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;525
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;530
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;535
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;540
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;545
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;550
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;555
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;560
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;565
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;570
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;575
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;580
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;585
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;590
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;595
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;600
