0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.30918206;0.30918205;0.39182875;0.39182896;0.35051026; -0.35051026; -0.35051026;0.35051026;0.04131803;0.04131803;0.04131803;0.04131803;295
0.30453044;0.30453044;0.39545519;0.39545540;0.34999729; -0.34999729; -0.34999729;0.34999729;0.04545749;0.04545749;0.04545749;0.04545749;300
0.29949592;0.29949592;0.39928191;0.39928212;0.34939303; -0.34939303; -0.34939303;0.34939303;0.04988850;0.04988850;0.04988850;0.04988850;305
0.29406305;0.29406305;0.40330014;0.40330035;0.34868539; -0.34868539; -0.34868539;0.34868539;0.05461441;0.05461441;0.05461441;0.05461441;310
0.28822384;0.28822383;0.40749395;0.40749416;0.34786239; -0.34786239; -0.34786239;0.34786239;0.05963125;0.05963125;0.05963125;0.05963125;315
0.28197143;0.28197142;0.41184536;0.41184558;0.34691163; -0.34691163; -0.34691163;0.34691163;0.06493346;0.06493346;0.06493346;0.06493346;320
0.27530601;0.27530600;0.41633072;0.41633093;0.34582136; -0.34582136; -0.34582136;0.34582136;0.07050912;0.07050912;0.07050912;0.07050912;325
0.26823400;0.26823400;0.42092202;0.42092224;0.34458078; -0.34458078; -0.34458078;0.34458078;0.07634103;0.07634103;0.07634103;0.07634103;330
0.26076918;0.26076917;0.42558713;0.42558735;0.34318072; -0.34318072; -0.34318072;0.34318072;0.08240623;0.08240623;0.08240623;0.08240623;335
0.25293211;0.25293211;0.43029112;0.43029134;0.34161399; -0.34161399; -0.34161399;0.34161399;0.08867696;0.08867696;0.08867696;0.08867696;340
0.24475642;0.24475641;0.43499370;0.43499392;0.33987726; -0.33987726; -0.33987726;0.33987726;0.09511629;0.09511629;0.09511629;0.09511629;345
0.23627803;0.23627802;0.43965671;0.43965694;0.33796942; -0.33796942; -0.33796942;0.33796942;0.10168717;0.10168717;0.10168717;0.10168717;350
0.22754343;0.22754342;0.44424027;0.44424050;0.33589375; -0.33589375; -0.33589375;0.33589375;0.10834642;0.10834642;0.10834642;0.10834642;355
0.21860889;0.21860888;0.44870444;0.44870467;0.33365843; -0.33365843; -0.33365843;0.33365843;0.11504592;0.11504592;0.11504592;0.11504592;360
0.20952759;0.20952759;0.45301632;0.45301656;0.33127360; -0.33127360; -0.33127360;0.33127360;0.12174265;0.12174265;0.12174265;0.12174265;365
0.20036650;0.20036650;0.45714214;0.45714238;0.32875585; -0.32875585; -0.32875585;0.32875585;0.12838623;0.12838623;0.12838623;0.12838623;370
0.19118633;0.19118633;0.46105696;0.46105720;0.32612307; -0.32612307; -0.32612307;0.32612307;0.13493385;0.13493385;0.13493385;0.13493385;375
0.18205106;0.18205106;0.46473993;0.46474017;0.32339682; -0.32339682; -0.32339682;0.32339682;0.14134308;0.14134308;0.14134308;0.14134308;380
0.17301756;0.17301756;0.46817814;0.46817838;0.32059909; -0.32059909; -0.32059909;0.32059909;0.14757903;0.14757903;0.14757903;0.14757903;385
0.16414412;0.16414412;0.47136249;0.47136273;0.31775446; -0.31775446; -0.31775446;0.31775446;0.15360802;0.15360802;0.15360802;0.15360802;390
0.15547630;0.15547629;0.47429216;0.47429240;0.31488531; -0.31488531; -0.31488531;0.31488531;0.15940685;0.15940685;0.15940685;0.15940685;395
0.14705746;0.14705746;0.47696967;0.47696992;0.31201458; -0.31201458; -0.31201458;0.31201458;0.16495511;0.16495511;0.16495511;0.16495511;400
0.13892278;0.13892278;0.47940218;0.47940243;0.30916343; -0.30916343; -0.30916343;0.30916343;0.17023878;0.17023878;0.17023878;0.17023878;405
0.13109962;0.13109961;0.48160037;0.48160062;0.30635088; -0.30635088; -0.30635088;0.30635088;0.17524952;0.17524952;0.17524952;0.17524952;410
0.12360519;0.12360518;0.48357812;0.48357838;0.30359249; -0.30359249; -0.30359249;0.30359249;0.17998567;0.17998567;0.17998567;0.17998567;415
0.11645389;0.11645388;0.48534993;0.48535019;0.30090269; -0.30090269; -0.30090269;0.30090269;0.18444728;0.18444728;0.18444728;0.18444728;420
0.10965225;0.10965224;0.48693169;0.48693194;0.29829270; -0.29829270; -0.29829270;0.29829270;0.18863903;0.18863903;0.18863903;0.18863903;425
0.10320299;0.10320299;0.48833927;0.48833952;0.29577182; -0.29577182; -0.29577182;0.29577182;0.19256750;0.19256750;0.19256750;0.19256750;430
0.09710127;0.09710126;0.48958907;0.48958932;0.29334582; -0.29334582; -0.29334582;0.29334582;0.19624331;0.19624331;0.19624331;0.19624331;435
0.09133872;0.09133872;0.49069681;0.49069707;0.29101838; -0.29101838; -0.29101838;0.29101838;0.19967849;0.19967849;0.19967849;0.19967849;440
0.08591736;0.08591735;0.49167504;0.49167529;0.28879678; -0.28879678; -0.28879678;0.28879678;0.20287833;0.20287833;0.20287833;0.20287833;445
0.08080402;0.08080402;0.49254122;0.49254148;0.28667317; -0.28667317; -0.28667317;0.28667317;0.20586812;0.20586812;0.20586812;0.20586812;450
0.07600907;0.07600906;0.49330393;0.49330419;0.28465702; -0.28465702; -0.28465702;0.28465702;0.20864699;0.20864699;0.20864699;0.20864699;455
0.07150130;0.07150129;0.49397745;0.49397771;0.28273987; -0.28273987; -0.28273987;0.28273987;0.21123766;0.21123766;0.21123766;0.21123766;460
0.06727400;0.06727400;0.49457090;0.49457115;0.28092292; -0.28092292; -0.28092292;0.28092292;0.21364806;0.21364806;0.21364806;0.21364806;465
0.06331499;0.06331499;0.49509330;0.49509356;0.27920459; -0.27920459; -0.27920459;0.27920459;0.21588880;0.21588880;0.21588880;0.21588880;470
0.05960655;0.05960655;0.49555346;0.49555372;0.27758043; -0.27758043; -0.27758043;0.27758043;0.21797312;0.21797312;0.21797312;0.21797312;475
0.05612464;0.05612464;0.49595988;0.49596013;0.27604266; -0.27604266; -0.27604266;0.27604266;0.21991730;0.21991730;0.21991730;0.21991730;480
0.05286921;0.05286920;0.49631746;0.49631772;0.27459372; -0.27459372; -0.27459372;0.27459372;0.22172384;0.22172384;0.22172384;0.22172384;485
0.04982376;0.04982376;0.49663243;0.49663269;0.27322846; -0.27322846; -0.27322846;0.27322846;0.22340407;0.22340407;0.22340407;0.22340407;490
0.04696381;0.04696381;0.49691104;0.49691130;0.27193778; -0.27193778; -0.27193778;0.27193778;0.22497336;0.22497336;0.22497336;0.22497336;495
0.04429840;0.04429840;0.49715575;0.49715601;0.27072741; -0.27072741; -0.27072741;0.27072741;0.22642844;0.22642844;0.22642844;0.22642844;500
