a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;0 a a a 0 2 2 a;a 2 2 0 a a a 0;a a a 0 a 2 2 0;Z
0.34938456; -0.34938456; -0.34938466;0.34938466; -0.34938488;0.34938488;0.34938497; -0.34938497;385
0.34938457; -0.34938457; -0.34938467;0.34938467; -0.34938487;0.34938487;0.34938496; -0.34938496;390
0.34938458; -0.34938458; -0.34938468;0.34938468; -0.34938486;0.34938486;0.34938495; -0.34938495;395
0.34938459; -0.34938459; -0.34938468;0.34938468; -0.34938485;0.34938485;0.34938494; -0.34938494;400
0.34938459; -0.34938459; -0.34938469;0.34938469; -0.34938484;0.34938484;0.34938493; -0.34938493;405
0.34938460; -0.34938460; -0.34938470;0.34938470; -0.34938484;0.34938484;0.34938493; -0.34938493;410
0.34938461; -0.34938461; -0.34938471;0.34938471; -0.34938483;0.34938483;0.34938492; -0.34938492;415
0.34938461; -0.34938461; -0.34938471;0.34938471; -0.34938482;0.34938482;0.34938491; -0.34938491;420
0.34938462; -0.34938462; -0.34938472;0.34938472; -0.34938482;0.34938482;0.34938491; -0.34938491;425
0.34938463; -0.34938463; -0.34938472;0.34938472; -0.34938481;0.34938481;0.34938490; -0.34938490;430
0.34938463; -0.34938463; -0.34938473;0.34938473; -0.34938481;0.34938481;0.34938490; -0.34938490;435
0.34938464; -0.34938464; -0.34938473;0.34938473; -0.34938480;0.34938480;0.34938489; -0.34938489;440
0.34938464; -0.34938464; -0.34938474;0.34938474; -0.34938480;0.34938480;0.34938489; -0.34938489;445
0.34938464; -0.34938464; -0.34938474;0.34938474; -0.34938479;0.34938479;0.34938488; -0.34938488;450
0.34938465; -0.34938465; -0.34938475;0.34938475; -0.34938479;0.34938479;0.34938488; -0.34938488;455
0.34938465; -0.34938465; -0.34938475;0.34938475; -0.34938479;0.34938479;0.34938488; -0.34938488;460
0.34938466; -0.34938466; -0.34938475;0.34938475; -0.34938478;0.34938478;0.34938487; -0.34938487;465
