0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;Z
0.49663837;0.49663838;0.00063840;0.00063840; -0.24736173;0.24736170;0.24736170; -0.24736167;0.24799999;0.24799999;0.24799999;0.24799999;100
0.49651237;0.49651238;0.00051213;0.00051213; -0.24748807;0.24748806;0.24748806; -0.24748806;0.24800012;0.24800012;0.24800012;0.24800012;105
0.49641476;0.49641477;0.00041436;0.00041436; -0.24758589;0.24758589;0.24758589; -0.24758589;0.24800020;0.24800020;0.24800020;0.24800020;110
0.49633843;0.49633844;0.00033793;0.00033793; -0.24766235;0.24766235;0.24766235; -0.24766235;0.24800025;0.24800025;0.24800025;0.24800025;115
0.49627821;0.49627822;0.00027765;0.00027765; -0.24772265;0.24772265;0.24772265; -0.24772265;0.24800028;0.24800028;0.24800028;0.24800028;120
0.49623030;0.49623032;0.00022971;0.00022971; -0.24777061;0.24777061;0.24777061; -0.24777061;0.24800030;0.24800030;0.24800030;0.24800030;125
0.49619190;0.49619191;0.00019128;0.00019128; -0.24780904;0.24780904;0.24780904; -0.24780904;0.24800031;0.24800031;0.24800031;0.24800031;130
0.49616088;0.49616089;0.00016025;0.00016025; -0.24784007;0.24784007;0.24784007; -0.24784007;0.24800032;0.24800032;0.24800032;0.24800032;135
0.49613566;0.49613567;0.00013503;0.00013503; -0.24786530;0.24786530;0.24786530; -0.24786530;0.24800032;0.24800032;0.24800032;0.24800032;140
0.49611503;0.49611504;0.00011438;0.00011438; -0.24788594;0.24788594;0.24788594; -0.24788594;0.24800032;0.24800032;0.24800032;0.24800032;145
0.49609803;0.49609804;0.00009739;0.00009739; -0.24790294;0.24790294;0.24790294; -0.24790294;0.24800032;0.24800032;0.24800032;0.24800032;150
0.49608396;0.49608397;0.00008332;0.00008332; -0.24791701;0.24791701;0.24791701; -0.24791701;0.24800032;0.24800032;0.24800032;0.24800032;155
0.49607224;0.49607225;0.00007160;0.00007160; -0.24792873;0.24792873;0.24792873; -0.24792873;0.24800032;0.24800032;0.24800032;0.24800032;160
0.49606244;0.49606245;0.00006179;0.00006179; -0.24793853;0.24793853;0.24793853; -0.24793853;0.24800032;0.24800032;0.24800032;0.24800032;165
0.49605419;0.49605420;0.00005355;0.00005355; -0.24794678;0.24794678;0.24794678; -0.24794678;0.24800032;0.24800032;0.24800032;0.24800032;170
0.49604722;0.49604723;0.00004658;0.00004658; -0.24795374;0.24795374;0.24795374; -0.24795374;0.24800032;0.24800032;0.24800032;0.24800032;175
0.49604131;0.49604132;0.00004067;0.00004067; -0.24795966;0.24795966;0.24795966; -0.24795966;0.24800032;0.24800032;0.24800032;0.24800032;180
0.49603627;0.49603628;0.00003563;0.00003563; -0.24796470;0.24796470;0.24796470; -0.24796470;0.24800032;0.24800032;0.24800032;0.24800032;185
0.49603195;0.49603197;0.00003132;0.00003132; -0.24796901;0.24796901;0.24796901; -0.24796901;0.24800032;0.24800032;0.24800032;0.24800032;190
0.49602825;0.49602826;0.00002761;0.00002761; -0.24797271;0.24797271;0.24797271; -0.24797271;0.24800032;0.24800032;0.24800032;0.24800032;195
0.49602506;0.49602507;0.00002442;0.00002442; -0.24797590;0.24797590;0.24797590; -0.24797590;0.24800032;0.24800032;0.24800032;0.24800032;200
0.49602230;0.49602231;0.00002166;0.00002166; -0.24797866;0.24797866;0.24797866; -0.24797866;0.24800032;0.24800032;0.24800032;0.24800032;205
0.49601990;0.49601991;0.00001926;0.00001926; -0.24798106;0.24798106;0.24798106; -0.24798106;0.24800032;0.24800032;0.24800032;0.24800032;210
0.49601781;0.49601782;0.00001718;0.00001718; -0.24798314;0.24798314;0.24798314; -0.24798314;0.24800032;0.24800032;0.24800032;0.24800032;215
0.49601599;0.49601600;0.00001535;0.00001535; -0.24798497;0.24798497;0.24798497; -0.24798497;0.24800032;0.24800032;0.24800032;0.24800032;220
0.49601439;0.49601440;0.00001376;0.00001376; -0.24798656;0.24798656;0.24798656; -0.24798656;0.24800032;0.24800032;0.24800032;0.24800032;225
0.49601299;0.49601300;0.00001236;0.00001236; -0.24798796;0.24798796;0.24798796; -0.24798796;0.24800032;0.24800032;0.24800032;0.24800032;230
0.49601176;0.49601177;0.00001112;0.00001112; -0.24798920;0.24798920;0.24798920; -0.24798920;0.24800032;0.24800032;0.24800032;0.24800032;235
0.49601067;0.49601068;0.00001003;0.00001003; -0.24799029;0.24799029;0.24799029; -0.24799029;0.24800032;0.24800032;0.24800032;0.24800032;240
0.49600970;0.49600971;0.00000907;0.00000907; -0.24799125;0.24799125;0.24799125; -0.24799125;0.24800032;0.24800032;0.24800032;0.24800032;245
0.49600885;0.49600886;0.00000821;0.00000821; -0.24799211;0.24799211;0.24799211; -0.24799211;0.24800032;0.24800032;0.24800032;0.24800032;250
0.49600809;0.49600810;0.00000745;0.00000745; -0.24799287;0.24799287;0.24799287; -0.24799287;0.24800032;0.24800032;0.24800032;0.24800032;255
0.49600741;0.49600742;0.00000678;0.00000678; -0.24799354;0.24799354;0.24799354; -0.24799354;0.24800032;0.24800032;0.24800032;0.24800032;260
0.49600680;0.49600681;0.00000617;0.00000617; -0.24799415;0.24799415;0.24799415; -0.24799415;0.24800032;0.24800032;0.24800032;0.24800032;265
0.49600626;0.49600627;0.00000563;0.00000563; -0.24799469;0.24799469;0.24799469; -0.24799469;0.24800032;0.24800032;0.24800032;0.24800032;270
0.49600577;0.49600578;0.00000514;0.00000514; -0.24799518;0.24799518;0.24799518; -0.24799518;0.24800032;0.24800032;0.24800032;0.24800032;275
0.49600534;0.49600535;0.00000471;0.00000471; -0.24799561;0.24799561;0.24799561; -0.24799561;0.24800032;0.24800032;0.24800032;0.24800032;280
0.49600494;0.49600495;0.00000431;0.00000431; -0.24799601;0.24799601;0.24799601; -0.24799601;0.24800032;0.24800032;0.24800032;0.24800032;285
0.49600459;0.49600460;0.00000396;0.00000396; -0.24799636;0.24799636;0.24799636; -0.24799636;0.24800032;0.24800032;0.24800032;0.24800032;290
0.49600427;0.49600428;0.00000364;0.00000364; -0.24799668;0.24799668;0.24799668; -0.24799668;0.24800032;0.24800032;0.24800032;0.24800032;295
0.49600398;0.49600399;0.00000335;0.00000335; -0.24799697;0.24799697;0.24799697; -0.24799697;0.24800032;0.24800032;0.24800032;0.24800032;300
0.49600372;0.49600373;0.00000309;0.00000309; -0.24799723;0.24799723;0.24799723; -0.24799723;0.24800032;0.24800032;0.24800032;0.24800032;305
0.49600348;0.49600349;0.00000285;0.00000285; -0.24799747;0.24799747;0.24799747; -0.24799747;0.24800032;0.24800032;0.24800032;0.24800032;310
0.49600326;0.49600327;0.00000263;0.00000263; -0.24799769;0.24799769;0.24799769; -0.24799769;0.24800032;0.24800032;0.24800032;0.24800032;315
0.49600307;0.49600308;0.00000243;0.00000243; -0.24799788;0.24799788;0.24799788; -0.24799788;0.24800032;0.24800032;0.24800032;0.24800032;320
0.49600289;0.49600290;0.00000226;0.00000226; -0.24799806;0.24799806;0.24799806; -0.24799806;0.24800032;0.24800032;0.24800032;0.24800032;325
0.49600272;0.49600273;0.00000209;0.00000209; -0.24799823;0.24799823;0.24799823; -0.24799823;0.24800032;0.24800032;0.24800032;0.24800032;330
0.49600257;0.49600258;0.00000194;0.00000194; -0.24799838;0.24799838;0.24799838; -0.24799838;0.24800032;0.24800032;0.24800032;0.24800032;335
0.49600243;0.49600245;0.00000180;0.00000180; -0.24799851;0.24799851;0.24799851; -0.24799851;0.24800032;0.24800032;0.24800032;0.24800032;340
0.49600231;0.49600232;0.00000168;0.00000168; -0.24799864;0.24799864;0.24799864; -0.24799864;0.24800032;0.24800032;0.24800032;0.24800032;345
0.49600219;0.49600220;0.00000156;0.00000156; -0.24799876;0.24799876;0.24799876; -0.24799876;0.24800032;0.24800032;0.24800032;0.24800032;350
0.49600209;0.49600210;0.00000146;0.00000146; -0.24799886;0.24799886;0.24799886; -0.24799886;0.24800032;0.24800032;0.24800032;0.24800032;355
0.49600199;0.49600200;0.00000136;0.00000136; -0.24799896;0.24799896;0.24799896; -0.24799896;0.24800032;0.24800032;0.24800032;0.24800032;360
0.49600190;0.49600191;0.00000127;0.00000127; -0.24799905;0.24799905;0.24799905; -0.24799905;0.24800032;0.24800032;0.24800032;0.24800032;365
0.49600182;0.49600183;0.00000119;0.00000119; -0.24799913;0.24799913;0.24799913; -0.24799913;0.24800032;0.24800032;0.24800032;0.24800032;370
0.49600174;0.49600175;0.00000111;0.00000111; -0.24799921;0.24799921;0.24799921; -0.24799921;0.24800032;0.24800032;0.24800032;0.24800032;375
0.49600167;0.49600168;0.00000104;0.00000104; -0.24799928;0.24799928;0.24799928; -0.24799928;0.24800032;0.24800032;0.24800032;0.24800032;380
0.49600160;0.49600162;0.00000097;0.00000097; -0.24799934;0.24799934;0.24799934; -0.24799934;0.24800032;0.24800032;0.24800032;0.24800032;385
0.49600154;0.49600156;0.00000091;0.00000091; -0.24799940;0.24799940;0.24799940; -0.24799940;0.24800032;0.24800032;0.24800032;0.24800032;390
