a 2 a 0 0 2 a a;0 2 a a a 2 a 0;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;a a 2 0 0 a 2 a;0 a 2 a a a 2 0;Z
 -0.34603647; -0.34603647; -0.34603649; -0.34603649;0.34603650;0.34603650;0.34603652;0.34603652;200
 -0.34603647; -0.34603647; -0.34603648; -0.34603648;0.34603650;0.34603650;0.34603651;0.34603651;205
 -0.34603646; -0.34603646; -0.34603648; -0.34603648;0.34603649;0.34603649;0.34603651;0.34603651;210
 -0.34603646; -0.34603646; -0.34603648; -0.34603648;0.34603649;0.34603649;0.34603650;0.34603650;215
 -0.34603646; -0.34603646; -0.34603647; -0.34603647;0.34603648;0.34603648;0.34603650;0.34603650;220
 -0.34603645; -0.34603645; -0.34603647; -0.34603647;0.34603648;0.34603648;0.34603650;0.34603650;225
 -0.34603645; -0.34603645; -0.34603647; -0.34603647;0.34603648;0.34603648;0.34603650;0.34603650;230
 -0.34603645; -0.34603645; -0.34603646; -0.34603646;0.34603648;0.34603648;0.34603649;0.34603649;235
 -0.34603645; -0.34603645; -0.34603646; -0.34603646;0.34603647;0.34603647;0.34603649;0.34603649;240
 -0.34603644; -0.34603644; -0.34603646; -0.34603646;0.34603647;0.34603647;0.34603649;0.34603649;245
 -0.34603644; -0.34603644; -0.34603646; -0.34603646;0.34603647;0.34603647;0.34603649;0.34603649;250
 -0.34603644; -0.34603644; -0.34603646; -0.34603646;0.34603647;0.34603647;0.34603649;0.34603649;255
 -0.34603644; -0.34603644; -0.34603646; -0.34603646;0.34603647;0.34603647;0.34603648;0.34603648;260
 -0.34603644; -0.34603644; -0.34603645; -0.34603645;0.34603647;0.34603647;0.34603648;0.34603648;265
 -0.34603644; -0.34603644; -0.34603645; -0.34603645;0.34603647;0.34603647;0.34603648;0.34603648;270
 -0.34603644; -0.34603644; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;275
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;280
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;285
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;290
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;295
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;300
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;305
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;310
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;315
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;320
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;325
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603648;0.34603648;330
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603647;0.34603647;335
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603647;0.34603647;340
 -0.34603643; -0.34603643; -0.34603645; -0.34603645;0.34603646;0.34603646;0.34603647;0.34603647;345
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;350
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;355
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;360
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;365
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;370
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;375
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;380
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;385
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;390
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;395
 -0.34603643; -0.34603643; -0.34603644; -0.34603644;0.34603646;0.34603646;0.34603647;0.34603647;400
