0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;Z
0.35283239;0.35283243; -0.35265422; -0.35265432;0.00008914; -0.00008914; -0.00008914;0.00008914; -0.35274342; -0.35274342; -0.35274342; -0.35274342;100
0.35286262;0.35286265; -0.35262402; -0.35262412;0.00011936; -0.00011936; -0.00011936;0.00011936; -0.35274343; -0.35274343; -0.35274343; -0.35274343;105
0.35290093;0.35290097; -0.35258571; -0.35258581;0.00015767; -0.00015767; -0.00015767;0.00015767; -0.35274344; -0.35274344; -0.35274344; -0.35274344;110
0.35294899;0.35294902; -0.35253763; -0.35253773;0.00020574; -0.00020574; -0.00020574;0.00020574; -0.35274343; -0.35274343; -0.35274343; -0.35274343;115
0.35300867;0.35300871; -0.35247789; -0.35247799;0.00026546; -0.00026546; -0.00026546;0.00026546; -0.35274341; -0.35274341; -0.35274341; -0.35274341;120
0.35308214;0.35308218; -0.35240431; -0.35240441;0.00033899; -0.00033899; -0.00033899;0.00033899; -0.35274336; -0.35274336; -0.35274336; -0.35274336;125
0.35317182;0.35317185; -0.35231446; -0.35231456;0.00042876; -0.00042876; -0.00042876;0.00042876; -0.35274327; -0.35274327; -0.35274327; -0.35274327;130
0.35328046;0.35328049; -0.35220553; -0.35220563;0.00053755; -0.00053755; -0.00053755;0.00053755; -0.35274313; -0.35274313; -0.35274313; -0.35274313;135
0.35341110;0.35341114; -0.35207444; -0.35207454;0.00066841; -0.00066841; -0.00066841;0.00066841; -0.35274291; -0.35274291; -0.35274291; -0.35274291;140
0.35356723;0.35356726; -0.35191766; -0.35191776;0.00082487; -0.00082487; -0.00082487;0.00082487; -0.35274259; -0.35274259; -0.35274259; -0.35274259;145
0.35375258;0.35375262; -0.35173134; -0.35173144;0.00101071; -0.00101071; -0.00101071;0.00101071; -0.35274211; -0.35274211; -0.35274211; -0.35274211;150
0.35397137;0.35397140; -0.35151117; -0.35151127;0.00123019; -0.00123019; -0.00123019;0.00123019; -0.35274142; -0.35274142; -0.35274142; -0.35274142;155
0.35422825;0.35422829; -0.35125229; -0.35125239;0.00148808; -0.00148808; -0.00148808;0.00148808; -0.35274043; -0.35274043; -0.35274043; -0.35274043;160
0.35452831;0.35452834; -0.35094944; -0.35094954;0.00178954; -0.00178954; -0.00178954;0.00178954; -0.35273903; -0.35273903; -0.35273903; -0.35273903;165
0.35487703;0.35487707; -0.35059681; -0.35059691;0.00214022; -0.00214022; -0.00214022;0.00214022; -0.35273708; -0.35273708; -0.35273708; -0.35273708;170
0.35528055;0.35528059; -0.35018789; -0.35018799;0.00254644; -0.00254644; -0.00254644;0.00254644; -0.35273439; -0.35273439; -0.35273439; -0.35273439;175
0.35574533;0.35574536; -0.34971573; -0.34971583;0.00301491; -0.00301491; -0.00301491;0.00301491; -0.35273070; -0.35273070; -0.35273070; -0.35273070;180
0.35627843;0.35627847; -0.34917260; -0.34917270;0.00355303; -0.00355303; -0.00355303;0.00355303; -0.35272569; -0.35272569; -0.35272569; -0.35272569;185
0.35688767;0.35688771; -0.34854988; -0.34854997;0.00416902; -0.00416902; -0.00416902;0.00416902; -0.35271895; -0.35271895; -0.35271895; -0.35271895;190
0.35758092;0.35758096; -0.34783862; -0.34783872;0.00487127; -0.00487127; -0.00487127;0.00487127; -0.35270995; -0.35270995; -0.35270995; -0.35270995;195
0.35836713;0.35836716; -0.34702856; -0.34702866;0.00566941; -0.00566941; -0.00566941;0.00566941; -0.35269803; -0.35269803; -0.35269803; -0.35269803;200
0.35925539;0.35925543; -0.34610892; -0.34610901;0.00657337; -0.00657337; -0.00657337;0.00657337; -0.35268234; -0.35268234; -0.35268234; -0.35268234;205
0.36025573;0.36025576; -0.34506757; -0.34506767;0.00759421; -0.00759421; -0.00759421;0.00759421; -0.35266184; -0.35266184; -0.35266184; -0.35266184;210
0.36137814;0.36137818; -0.34389192; -0.34389202;0.00874324; -0.00874324; -0.00874324;0.00874324; -0.35263523; -0.35263523; -0.35263523; -0.35263523;215
0.36263344;0.36263347; -0.34256795; -0.34256805;0.01003288; -0.01003288; -0.01003288;0.01003288; -0.35260089; -0.35260089; -0.35260089; -0.35260089;220
0.36403296;0.36403299; -0.34108037; -0.34108047;0.01147643; -0.01147643; -0.01147643;0.01147643; -0.35255686; -0.35255686; -0.35255686; -0.35255686;225
0.36558751;0.36558755; -0.33941358; -0.33941368;0.01308711; -0.01308711; -0.01308711;0.01308711; -0.35250075; -0.35250075; -0.35250075; -0.35250075;230
0.36730907;0.36730910; -0.33754978; -0.33754988;0.01487979; -0.01487979; -0.01487979;0.01487979; -0.35242963; -0.35242963; -0.35242963; -0.35242963;235
0.36920919;0.36920923; -0.33547038; -0.33547048;0.01686956; -0.01686956; -0.01686956;0.01686956; -0.35234000; -0.35234000; -0.35234000; -0.35234000;240
0.37129953;0.37129957; -0.33315531; -0.33315540;0.01907227; -0.01907227; -0.01907227;0.01907227; -0.35222763; -0.35222763; -0.35222763; -0.35222763;245
0.37359058;0.37359062; -0.33058414; -0.33058424;0.02150338; -0.02150338; -0.02150338;0.02150338; -0.35208758; -0.35208758; -0.35208758; -0.35208758;250
0.37609355;0.37609359; -0.32773379; -0.32773388;0.02418004; -0.02418004; -0.02418004;0.02418004; -0.35191389; -0.35191389; -0.35191389; -0.35191389;255
0.37881614;0.37881617; -0.32458300; -0.32458310;0.02711673; -0.02711673; -0.02711673;0.02711673; -0.35169980; -0.35169980; -0.35169980; -0.35169980;260
0.38176765;0.38176769; -0.32110630; -0.32110639;0.03033084; -0.03033084; -0.03033084;0.03033084; -0.35143720; -0.35143720; -0.35143720; -0.35143720;265
0.38495225;0.38495229; -0.31728150; -0.31728159;0.03383555; -0.03383555; -0.03383555;0.03383555; -0.35111711; -0.35111711; -0.35111711; -0.35111711;270
0.38837418;0.38837422; -0.31308350; -0.31308359;0.03764552; -0.03764552; -0.03764552;0.03764552; -0.35072907; -0.35072907; -0.35072907; -0.35072907;275
0.39203301;0.39203305; -0.30848970; -0.30848979;0.04177183; -0.04177183; -0.04177183;0.04177183; -0.35026159; -0.35026159; -0.35026159; -0.35026159;280
0.39592549;0.39592553; -0.30347781; -0.30347790;0.04622402; -0.04622402; -0.04622402;0.04622402; -0.34970189; -0.34970189; -0.34970189; -0.34970189;285
0.40004304;0.40004307; -0.29802910; -0.29802919;0.05100715; -0.05100715; -0.05100715;0.05100715; -0.34903631; -0.34903631; -0.34903631; -0.34903631;290
