a 2 a a 0 a 2 0;0 2 a 0 a a 2 a;a a 2 a 0 2 a 0;0 a 2 0 a 2 a a;a a a 0 0 2 2 a;a 2 2 0 0 a a a;0 2 2 a a a a 0;0 a a a a 2 2 0;Z
 -0.34774242;0.34774242; -0.34774242;0.34774242; -0.34774245;0.34774245;0.34774245; -0.34774245;480
 -0.34774242;0.34774242; -0.34774242;0.34774242; -0.34774245;0.34774245;0.34774245; -0.34774245;485
 -0.34774242;0.34774242; -0.34774242;0.34774242; -0.34774245;0.34774245;0.34774245; -0.34774245;490
 -0.34774242;0.34774242; -0.34774242;0.34774242; -0.34774245;0.34774245;0.34774245; -0.34774245;495
 -0.34774242;0.34774242; -0.34774242;0.34774242; -0.34774245;0.34774245;0.34774245; -0.34774245;500
 -0.34774242;0.34774242; -0.34774242;0.34774242; -0.34774244;0.34774244;0.34774244; -0.34774244;505
 -0.34774242;0.34774242; -0.34774242;0.34774242; -0.34774244;0.34774244;0.34774244; -0.34774244;510
 -0.34774242;0.34774242; -0.34774242;0.34774242; -0.34774244;0.34774244;0.34774244; -0.34774244;515
 -0.34774242;0.34774242; -0.34774242;0.34774242; -0.34774244;0.34774244;0.34774244; -0.34774244;520
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;525
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;530
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;535
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;540
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;545
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;550
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;555
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;560
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;565
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;570
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;575
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;580
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;585
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;590
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;595
 -0.34774243;0.34774243; -0.34774243;0.34774243; -0.34774244;0.34774244;0.34774244; -0.34774244;600
