a a 2 a 0 2 a 0;a 2 a a 0 a 2 0;0 a 2 0 a 2 a a;0 2 a 0 a a 2 a;a 2 2 0 0 a a a;0 2 2 a a a a 0;a a a 0 0 2 2 a;0 a a a a 2 2 0;Z
0.35182866;0.35182866; -0.35182866; -0.35182866;0.35182835;0.35182835; -0.35182835; -0.35182835;385
0.35182865;0.35182865; -0.35182865; -0.35182865;0.35182836;0.35182836; -0.35182836; -0.35182836;390
0.35182864;0.35182864; -0.35182864; -0.35182864;0.35182837;0.35182837; -0.35182837; -0.35182837;395
0.35182864;0.35182864; -0.35182864; -0.35182864;0.35182838;0.35182838; -0.35182838; -0.35182838;400
0.35182863;0.35182863; -0.35182863; -0.35182863;0.35182838;0.35182838; -0.35182838; -0.35182838;405
0.35182862;0.35182862; -0.35182862; -0.35182862;0.35182839;0.35182839; -0.35182839; -0.35182839;410
0.35182861;0.35182861; -0.35182861; -0.35182861;0.35182840;0.35182840; -0.35182840; -0.35182840;415
0.35182861;0.35182861; -0.35182861; -0.35182861;0.35182840;0.35182840; -0.35182840; -0.35182840;420
0.35182860;0.35182860; -0.35182860; -0.35182860;0.35182841;0.35182841; -0.35182841; -0.35182841;425
0.35182860;0.35182860; -0.35182860; -0.35182860;0.35182842;0.35182842; -0.35182842; -0.35182842;430
0.35182859;0.35182859; -0.35182859; -0.35182859;0.35182842;0.35182842; -0.35182842; -0.35182842;435
0.35182859;0.35182859; -0.35182859; -0.35182859;0.35182843;0.35182843; -0.35182843; -0.35182843;440
0.35182858;0.35182858; -0.35182858; -0.35182858;0.35182843;0.35182843; -0.35182843; -0.35182843;445
0.35182858;0.35182858; -0.35182858; -0.35182858;0.35182843;0.35182843; -0.35182843; -0.35182843;450
0.35182857;0.35182857; -0.35182857; -0.35182857;0.35182844;0.35182844; -0.35182844; -0.35182844;455
0.35182857;0.35182857; -0.35182857; -0.35182857;0.35182844;0.35182844; -0.35182844; -0.35182844;460
0.35182857;0.35182857; -0.35182857; -0.35182857;0.35182844;0.35182844; -0.35182844; -0.35182844;465
0.35182856;0.35182856; -0.35182856; -0.35182856;0.35182845;0.35182845; -0.35182845; -0.35182845;470
0.35182856;0.35182856; -0.35182856; -0.35182856;0.35182845;0.35182845; -0.35182845; -0.35182845;475
0.35182856;0.35182856; -0.35182856; -0.35182856;0.35182845;0.35182845; -0.35182845; -0.35182845;480
0.35182856;0.35182856; -0.35182856; -0.35182856;0.35182846;0.35182846; -0.35182846; -0.35182846;485
0.35182855;0.35182855; -0.35182855; -0.35182855;0.35182846;0.35182846; -0.35182846; -0.35182846;490
0.35182855;0.35182855; -0.35182855; -0.35182855;0.35182846;0.35182846; -0.35182846; -0.35182846;495
0.35182855;0.35182855; -0.35182855; -0.35182855;0.35182846;0.35182846; -0.35182846; -0.35182846;500
0.35182855;0.35182855; -0.35182855; -0.35182855;0.35182847;0.35182847; -0.35182847; -0.35182847;505
0.35182854;0.35182854; -0.35182854; -0.35182854;0.35182847;0.35182847; -0.35182847; -0.35182847;510
0.35182854;0.35182854; -0.35182854; -0.35182854;0.35182847;0.35182847; -0.35182847; -0.35182847;515
0.35182854;0.35182854; -0.35182854; -0.35182854;0.35182847;0.35182847; -0.35182847; -0.35182847;520
0.35182854;0.35182854; -0.35182854; -0.35182854;0.35182847;0.35182847; -0.35182847; -0.35182847;525
0.35182854;0.35182854; -0.35182854; -0.35182854;0.35182847;0.35182847; -0.35182847; -0.35182847;530
