a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;a 2 2 0 a a a 0;0 a a a 0 2 2 a;a a a 0 a 2 2 0;Z
 -0.34803536;0.34803536;0.34803540; -0.34803540;0.34803541; -0.34803548; -0.34803541;0.34803548;380
 -0.34803536;0.34803536;0.34803540; -0.34803540;0.34803541; -0.34803547; -0.34803541;0.34803547;385
 -0.34803537;0.34803537;0.34803540; -0.34803540;0.34803540; -0.34803547; -0.34803540;0.34803547;390
 -0.34803537;0.34803537;0.34803540; -0.34803540;0.34803540; -0.34803547; -0.34803540;0.34803547;395
 -0.34803537;0.34803537;0.34803540; -0.34803540;0.34803540; -0.34803547; -0.34803540;0.34803547;400
 -0.34803537;0.34803537;0.34803541; -0.34803541;0.34803540; -0.34803547; -0.34803540;0.34803547;405
 -0.34803537;0.34803537;0.34803541; -0.34803541;0.34803540; -0.34803547; -0.34803540;0.34803547;410
 -0.34803537;0.34803537;0.34803541; -0.34803541;0.34803540; -0.34803547; -0.34803540;0.34803547;415
 -0.34803538;0.34803538;0.34803541; -0.34803541;0.34803540; -0.34803546; -0.34803540;0.34803546;420
 -0.34803538;0.34803538;0.34803541; -0.34803541;0.34803539; -0.34803546; -0.34803539;0.34803546;425
 -0.34803538;0.34803538;0.34803541; -0.34803541;0.34803539; -0.34803546; -0.34803539;0.34803546;430
 -0.34803538;0.34803538;0.34803541; -0.34803541;0.34803539; -0.34803546; -0.34803539;0.34803546;435
 -0.34803538;0.34803538;0.34803541; -0.34803541;0.34803539; -0.34803546; -0.34803539;0.34803546;440
 -0.34803538;0.34803538;0.34803541; -0.34803541;0.34803539; -0.34803546; -0.34803539;0.34803546;445
 -0.34803538;0.34803538;0.34803542; -0.34803542;0.34803539; -0.34803546; -0.34803539;0.34803546;450
 -0.34803538;0.34803538;0.34803542; -0.34803542;0.34803539; -0.34803546; -0.34803539;0.34803546;455
 -0.34803538;0.34803538;0.34803542; -0.34803542;0.34803539; -0.34803546; -0.34803539;0.34803546;460
 -0.34803538;0.34803538;0.34803542; -0.34803542;0.34803539; -0.34803546; -0.34803539;0.34803546;465
 -0.34803538;0.34803538;0.34803542; -0.34803542;0.34803539; -0.34803546; -0.34803539;0.34803546;470
 -0.34803538;0.34803538;0.34803542; -0.34803542;0.34803539; -0.34803546; -0.34803539;0.34803546;475
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803539; -0.34803546; -0.34803539;0.34803546;480
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803539; -0.34803545; -0.34803539;0.34803545;485
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803539; -0.34803545; -0.34803539;0.34803545;490
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803539; -0.34803545; -0.34803539;0.34803545;495
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803539; -0.34803545; -0.34803539;0.34803545;500
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803539; -0.34803545; -0.34803539;0.34803545;505
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;510
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;515
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;520
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;525
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;530
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;535
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;540
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;545
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;550
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;555
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;560
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;565
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;570
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;575
 -0.34803539;0.34803539;0.34803542; -0.34803542;0.34803538; -0.34803545; -0.34803538;0.34803545;580
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;585
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;590
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;595
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;600
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;605
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;610
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;615
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;620
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;625
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;630
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;635
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;640
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;645
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;650
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;655
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;660
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;665
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;670
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;675
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;680
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;685
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;690
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;695
 -0.34803539;0.34803539;0.34803543; -0.34803543;0.34803538; -0.34803545; -0.34803538;0.34803545;700
