0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;0 a 2 a a a 2 0;a a 2 0 0 a 2 a;0 2 a a a 2 a 0;a 2 a 0 0 2 a a;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;Z
0.34938473;0.34938473; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938482;0.34938482;630
0.34938473;0.34938473; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938482;0.34938482;635
0.34938473;0.34938473; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938482;0.34938482;640
0.34938473;0.34938473; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938482;0.34938482;645
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938480; -0.34938480;0.34938482;0.34938482;650
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938480; -0.34938480;0.34938482;0.34938482;655
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938480; -0.34938480;0.34938482;0.34938482;660
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938480; -0.34938480;0.34938482;0.34938482;665
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938480; -0.34938480;0.34938482;0.34938482;670
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938480; -0.34938480;0.34938482;0.34938482;675
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938480; -0.34938480;0.34938482;0.34938482;680
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938480; -0.34938480;0.34938482;0.34938482;685
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938481; -0.34938481;0.34938482;0.34938482;690
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938481; -0.34938481;0.34938482;0.34938482;695
0.34938473;0.34938473; -0.34938471; -0.34938471; -0.34938481; -0.34938481;0.34938482;0.34938482;700
