0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;Z
0.35235895;0.35235899;0.35284257;0.35284267;0.35288471; -0.35288467; -0.35288465;0.35288461; -0.00006361; -0.00006361; -0.00006361; -0.00006361;100
0.35239325;0.35239328;0.35287051;0.35287061;0.35285393; -0.35285392; -0.35285392;0.35285391; -0.00000001; -0.00000001; -0.00000001; -0.00000001;105
0.35240325;0.35240328;0.35290714;0.35290724;0.35283086; -0.35283086; -0.35283086;0.35283086;0.00006330;0.00006330;0.00006330;0.00006330;110
0.35239183;0.35239187;0.35295393;0.35295403;0.35281332; -0.35281332; -0.35281332;0.35281332;0.00013034;0.00013034;0.00013034;0.00013034;115
0.35236026;0.35236030;0.35301265;0.35301275;0.35279982; -0.35279982; -0.35279982;0.35279982;0.00020462;0.00020462;0.00020462;0.00020462;120
0.35230857;0.35230861;0.35308538;0.35308548;0.35278928; -0.35278928; -0.35278928;0.35278928;0.00028946;0.00028946;0.00028946;0.00028946;125
0.35223589;0.35223592;0.35317448;0.35317458;0.35278097; -0.35278097; -0.35278097;0.35278097;0.00038811;0.00038811;0.00038811;0.00038811;130
0.35214057;0.35214060;0.35328267;0.35328277;0.35277430; -0.35277430; -0.35277430;0.35277430;0.00050393;0.00050393;0.00050393;0.00050393;135
0.35202036;0.35202039;0.35341295;0.35341305;0.35276887; -0.35276887; -0.35276887;0.35276887;0.00064041;0.00064041;0.00064041;0.00064041;140
0.35187234;0.35187237;0.35356879;0.35356889;0.35276434; -0.35276434; -0.35276434;0.35276434;0.00080140;0.00080140;0.00080140;0.00080140;145
0.35169313;0.35169317;0.35375391;0.35375401;0.35276044; -0.35276044; -0.35276044;0.35276044;0.00099091;0.00099091;0.00099091;0.00099091;150
0.35147877;0.35147881;0.35397251;0.35397261;0.35275695; -0.35275695; -0.35275695;0.35275695;0.00121340;0.00121340;0.00121340;0.00121340;155
0.35122469;0.35122472;0.35422924;0.35422934;0.35275366; -0.35275366; -0.35275366;0.35275366;0.00147375;0.00147375;0.00147375;0.00147375;160
0.35092579;0.35092583;0.35452917;0.35452927;0.35275036; -0.35275036; -0.35275036;0.35275036;0.00177726;0.00177726;0.00177726;0.00177726;165
