a 2 a a 0 a 2 0;0 2 a 0 a a 2 a;a a 2 a 0 2 a 0;0 a 2 0 a 2 a a;a 2 2 0 0 a a a;a a a 0 0 2 2 a;0 2 2 a a a a 0;0 a a a a 2 2 0;Z
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;485
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;490
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;495
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;500
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;505
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;510
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;515
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;520
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;525
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;530
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;535
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;540
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;545
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;550
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;555
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;560
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;565
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;570
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;575
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;580
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;585
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;590
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;595
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;600
