0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
 -0.00003773; -0.00003773;0.48909860;0.48909834; -0.24460592;0.24460590;0.24460590; -0.24460589; -0.24456810; -0.24456810; -0.24456810; -0.24456810;100
 -0.00003019; -0.00003019;0.48910572;0.48910546; -0.24459813;0.24459812;0.24459812; -0.24459812; -0.24456789; -0.24456789; -0.24456789; -0.24456789;105
 -0.00002437; -0.00002437;0.48911123;0.48911097; -0.24459213;0.24459213;0.24459213; -0.24459213; -0.24456773; -0.24456773; -0.24456773; -0.24456773;110
 -0.00001983; -0.00001983;0.48911553;0.48911527; -0.24458746;0.24458746;0.24458746; -0.24458746; -0.24456761; -0.24456761; -0.24456761; -0.24456761;115
 -0.00001626; -0.00001626;0.48911891;0.48911865; -0.24458379;0.24458379;0.24458379; -0.24458379; -0.24456752; -0.24456752; -0.24456752; -0.24456752;120
 -0.00001343; -0.00001343;0.48912160;0.48912134; -0.24458088;0.24458088;0.24458088; -0.24458088; -0.24456745; -0.24456745; -0.24456745; -0.24456745;125
 -0.00001116; -0.00001116;0.48912375;0.48912349; -0.24457856;0.24457856;0.24457856; -0.24457856; -0.24456739; -0.24456739; -0.24456739; -0.24456739;130
 -0.00000934; -0.00000934;0.48912549;0.48912523; -0.24457669;0.24457669;0.24457669; -0.24457669; -0.24456735; -0.24456735; -0.24456735; -0.24456735;135
 -0.00000785; -0.00000785;0.48912690;0.48912664; -0.24457517;0.24457517;0.24457517; -0.24457517; -0.24456731; -0.24456731; -0.24456731; -0.24456731;140
 -0.00000665; -0.00000665;0.48912806;0.48912779; -0.24457393;0.24457393;0.24457393; -0.24457393; -0.24456729; -0.24456729; -0.24456729; -0.24456729;145
 -0.00000565; -0.00000565;0.48912900;0.48912874; -0.24457292;0.24457292;0.24457292; -0.24457292; -0.24456726; -0.24456726; -0.24456726; -0.24456726;150
 -0.00000483; -0.00000483;0.48912979;0.48912953; -0.24457207;0.24457207;0.24457207; -0.24457207; -0.24456724; -0.24456724; -0.24456724; -0.24456724;155
 -0.00000415; -0.00000415;0.48913044;0.48913018; -0.24457138;0.24457138;0.24457138; -0.24457138; -0.24456723; -0.24456723; -0.24456723; -0.24456723;160
 -0.00000357; -0.00000357;0.48913099;0.48913073; -0.24457079;0.24457079;0.24457079; -0.24457079; -0.24456722; -0.24456722; -0.24456722; -0.24456722;165
 -0.00000309; -0.00000309;0.48913145;0.48913119; -0.24457030;0.24457030;0.24457030; -0.24457030; -0.24456721; -0.24456721; -0.24456721; -0.24456721;170
 -0.00000269; -0.00000269;0.48913184;0.48913158; -0.24456989;0.24456989;0.24456989; -0.24456989; -0.24456720; -0.24456720; -0.24456720; -0.24456720;175
 -0.00000235; -0.00000235;0.48913217;0.48913191; -0.24456954;0.24456954;0.24456954; -0.24456954; -0.24456719; -0.24456719; -0.24456719; -0.24456719;180
 -0.00000205; -0.00000205;0.48913245;0.48913219; -0.24456924;0.24456924;0.24456924; -0.24456924; -0.24456719; -0.24456719; -0.24456719; -0.24456719;185
 -0.00000180; -0.00000180;0.48913269;0.48913243; -0.24456899;0.24456899;0.24456899; -0.24456899; -0.24456718; -0.24456718; -0.24456718; -0.24456718;190
 -0.00000159; -0.00000159;0.48913289;0.48913263; -0.24456877;0.24456877;0.24456877; -0.24456877; -0.24456718; -0.24456718; -0.24456718; -0.24456718;195
 -0.00000141; -0.00000141;0.48913307;0.48913281; -0.24456858;0.24456858;0.24456858; -0.24456858; -0.24456717; -0.24456717; -0.24456717; -0.24456717;200
 -0.00000125; -0.00000125;0.48913322;0.48913296; -0.24456842;0.24456842;0.24456842; -0.24456842; -0.24456717; -0.24456717; -0.24456717; -0.24456717;205
 -0.00000111; -0.00000111;0.48913336;0.48913310; -0.24456827;0.24456827;0.24456827; -0.24456827; -0.24456717; -0.24456717; -0.24456717; -0.24456717;210
 -0.00000099; -0.00000099;0.48913347;0.48913321; -0.24456815;0.24456815;0.24456815; -0.24456815; -0.24456716; -0.24456716; -0.24456716; -0.24456716;215
 -0.00000088; -0.00000088;0.48913357;0.48913331; -0.24456805;0.24456805;0.24456805; -0.24456805; -0.24456716; -0.24456716; -0.24456716; -0.24456716;220
 -0.00000079; -0.00000079;0.48913366;0.48913340; -0.24456795;0.24456795;0.24456795; -0.24456795; -0.24456716; -0.24456716; -0.24456716; -0.24456716;225
 -0.00000071; -0.00000071;0.48913374;0.48913348; -0.24456787;0.24456787;0.24456787; -0.24456787; -0.24456716; -0.24456716; -0.24456716; -0.24456716;230
 -0.00000064; -0.00000064;0.48913381;0.48913355; -0.24456780;0.24456780;0.24456780; -0.24456780; -0.24456716; -0.24456716; -0.24456716; -0.24456716;235
 -0.00000058; -0.00000058;0.48913387;0.48913361; -0.24456773;0.24456773;0.24456773; -0.24456773; -0.24456716; -0.24456716; -0.24456716; -0.24456716;240
 -0.00000052; -0.00000052;0.48913392;0.48913366; -0.24456768;0.24456768;0.24456768; -0.24456768; -0.24456716; -0.24456716; -0.24456716; -0.24456716;245
 -0.00000047; -0.00000047;0.48913397;0.48913371; -0.24456763;0.24456763;0.24456763; -0.24456763; -0.24456716; -0.24456716; -0.24456716; -0.24456716;250
 -0.00000043; -0.00000043;0.48913401;0.48913375; -0.24456758;0.24456758;0.24456758; -0.24456758; -0.24456715; -0.24456715; -0.24456715; -0.24456715;255
 -0.00000039; -0.00000039;0.48913405;0.48913379; -0.24456754;0.24456754;0.24456754; -0.24456754; -0.24456715; -0.24456715; -0.24456715; -0.24456715;260
 -0.00000035; -0.00000035;0.48913408;0.48913382; -0.24456751;0.24456751;0.24456751; -0.24456751; -0.24456715; -0.24456715; -0.24456715; -0.24456715;265
 -0.00000032; -0.00000032;0.48913411;0.48913385; -0.24456748;0.24456748;0.24456748; -0.24456748; -0.24456715; -0.24456715; -0.24456715; -0.24456715;270
 -0.00000029; -0.00000029;0.48913414;0.48913388; -0.24456745;0.24456745;0.24456745; -0.24456745; -0.24456715; -0.24456715; -0.24456715; -0.24456715;275
 -0.00000027; -0.00000027;0.48913416;0.48913390; -0.24456742;0.24456742;0.24456742; -0.24456742; -0.24456715; -0.24456715; -0.24456715; -0.24456715;280
 -0.00000025; -0.00000025;0.48913419;0.48913393; -0.24456740;0.24456740;0.24456740; -0.24456740; -0.24456715; -0.24456715; -0.24456715; -0.24456715;285
 -0.00000023; -0.00000023;0.48913421;0.48913395; -0.24456738;0.24456738;0.24456738; -0.24456738; -0.24456715; -0.24456715; -0.24456715; -0.24456715;290
 -0.00000021; -0.00000021;0.48913422;0.48913396; -0.24456736;0.24456736;0.24456736; -0.24456736; -0.24456715; -0.24456715; -0.24456715; -0.24456715;295
 -0.00000019; -0.00000019;0.48913424;0.48913398; -0.24456734;0.24456734;0.24456734; -0.24456734; -0.24456715; -0.24456715; -0.24456715; -0.24456715;300
 -0.00000018; -0.00000018;0.48913425;0.48913399; -0.24456733;0.24456733;0.24456733; -0.24456733; -0.24456715; -0.24456715; -0.24456715; -0.24456715;305
 -0.00000016; -0.00000016;0.48913427;0.48913401; -0.24456731;0.24456731;0.24456731; -0.24456731; -0.24456715; -0.24456715; -0.24456715; -0.24456715;310
 -0.00000015; -0.00000015;0.48913428;0.48913402; -0.24456730;0.24456730;0.24456730; -0.24456730; -0.24456715; -0.24456715; -0.24456715; -0.24456715;315
 -0.00000014; -0.00000014;0.48913429;0.48913403; -0.24456729;0.24456729;0.24456729; -0.24456729; -0.24456715; -0.24456715; -0.24456715; -0.24456715;320
 -0.00000013; -0.00000013;0.48913430;0.48913404; -0.24456728;0.24456728;0.24456728; -0.24456728; -0.24456715; -0.24456715; -0.24456715; -0.24456715;325
 -0.00000012; -0.00000012;0.48913431;0.48913405; -0.24456727;0.24456727;0.24456727; -0.24456727; -0.24456715; -0.24456715; -0.24456715; -0.24456715;330
 -0.00000011; -0.00000011;0.48913432;0.48913406; -0.24456726;0.24456726;0.24456726; -0.24456726; -0.24456715; -0.24456715; -0.24456715; -0.24456715;335
 -0.00000010; -0.00000010;0.48913433;0.48913407; -0.24456725;0.24456725;0.24456725; -0.24456725; -0.24456715; -0.24456715; -0.24456715; -0.24456715;340
 -0.00000010; -0.00000010;0.48913433;0.48913407; -0.24456724;0.24456724;0.24456724; -0.24456724; -0.24456715; -0.24456715; -0.24456715; -0.24456715;345
 -0.00000009; -0.00000009;0.48913434;0.48913408; -0.24456724;0.24456724;0.24456724; -0.24456724; -0.24456715; -0.24456715; -0.24456715; -0.24456715;350
 -0.00000008; -0.00000008;0.48913434;0.48913408; -0.24456723;0.24456723;0.24456723; -0.24456723; -0.24456715; -0.24456715; -0.24456715; -0.24456715;355
 -0.00000008; -0.00000008;0.48913435;0.48913409; -0.24456723;0.24456723;0.24456723; -0.24456723; -0.24456715; -0.24456715; -0.24456715; -0.24456715;360
 -0.00000007; -0.00000007;0.48913435;0.48913409; -0.24456722;0.24456722;0.24456722; -0.24456722; -0.24456715; -0.24456715; -0.24456715; -0.24456715;365
 -0.00000007; -0.00000007;0.48913436;0.48913410; -0.24456722;0.24456722;0.24456722; -0.24456722; -0.24456715; -0.24456715; -0.24456715; -0.24456715;370
 -0.00000006; -0.00000006;0.48913436;0.48913410; -0.24456721;0.24456721;0.24456721; -0.24456721; -0.24456715; -0.24456715; -0.24456715; -0.24456715;375
 -0.00000006; -0.00000006;0.48913437;0.48913411; -0.24456721;0.24456721;0.24456721; -0.24456721; -0.24456715; -0.24456715; -0.24456715; -0.24456715;380
 -0.00000006; -0.00000006;0.48913437;0.48913411; -0.24456720;0.24456720;0.24456720; -0.24456720; -0.24456715; -0.24456715; -0.24456715; -0.24456715;385
 -0.00000005; -0.00000005;0.48913437;0.48913411; -0.24456720;0.24456720;0.24456720; -0.24456720; -0.24456715; -0.24456715; -0.24456715; -0.24456715;390
 -0.00000005; -0.00000005;0.48913438;0.48913412; -0.24456720;0.24456720;0.24456720; -0.24456720; -0.24456715; -0.24456715; -0.24456715; -0.24456715;395
 -0.00000005; -0.00000005;0.48913438;0.48913412; -0.24456719;0.24456719;0.24456719; -0.24456719; -0.24456715; -0.24456715; -0.24456715; -0.24456715;400
 -0.00000004; -0.00000004;0.48913438;0.48913412; -0.24456719;0.24456719;0.24456719; -0.24456719; -0.24456715; -0.24456715; -0.24456715; -0.24456715;405
 -0.00000004; -0.00000004;0.48913439;0.48913413; -0.24456719;0.24456719;0.24456719; -0.24456719; -0.24456715; -0.24456715; -0.24456715; -0.24456715;410
 -0.00000004; -0.00000004;0.48913439;0.48913413; -0.24456719;0.24456719;0.24456719; -0.24456719; -0.24456715; -0.24456715; -0.24456715; -0.24456715;415
 -0.00000004; -0.00000004;0.48913439;0.48913413; -0.24456718;0.24456718;0.24456718; -0.24456718; -0.24456715; -0.24456715; -0.24456715; -0.24456715;420
 -0.00000003; -0.00000003;0.48913439;0.48913413; -0.24456718;0.24456718;0.24456718; -0.24456718; -0.24456715; -0.24456715; -0.24456715; -0.24456715;425
 -0.00000003; -0.00000003;0.48913439;0.48913413; -0.24456718;0.24456718;0.24456718; -0.24456718; -0.24456715; -0.24456715; -0.24456715; -0.24456715;430
 -0.00000003; -0.00000003;0.48913440;0.48913414; -0.24456718;0.24456718;0.24456718; -0.24456718; -0.24456715; -0.24456715; -0.24456715; -0.24456715;435
 -0.00000003; -0.00000003;0.48913440;0.48913414; -0.24456718;0.24456718;0.24456718; -0.24456718; -0.24456715; -0.24456715; -0.24456715; -0.24456715;440
 -0.00000003; -0.00000003;0.48913440;0.48913414; -0.24456718;0.24456718;0.24456718; -0.24456718; -0.24456715; -0.24456715; -0.24456715; -0.24456715;445
 -0.00000003; -0.00000003;0.48913440;0.48913414; -0.24456717;0.24456717;0.24456717; -0.24456717; -0.24456715; -0.24456715; -0.24456715; -0.24456715;450
 -0.00000002; -0.00000002;0.48913440;0.48913414; -0.24456717;0.24456717;0.24456717; -0.24456717; -0.24456715; -0.24456715; -0.24456715; -0.24456715;455
 -0.00000002; -0.00000002;0.48913440;0.48913414; -0.24456717;0.24456717;0.24456717; -0.24456717; -0.24456715; -0.24456715; -0.24456715; -0.24456715;460
 -0.00000002; -0.00000002;0.48913440;0.48913414; -0.24456717;0.24456717;0.24456717; -0.24456717; -0.24456715; -0.24456715; -0.24456715; -0.24456715;465
 -0.00000002; -0.00000002;0.48913441;0.48913414; -0.24456717;0.24456717;0.24456717; -0.24456717; -0.24456715; -0.24456715; -0.24456715; -0.24456715;470
 -0.00000002; -0.00000002;0.48913441;0.48913415; -0.24456717;0.24456717;0.24456717; -0.24456717; -0.24456715; -0.24456715; -0.24456715; -0.24456715;475
 -0.00000002; -0.00000002;0.48913441;0.48913415; -0.24456717;0.24456717;0.24456717; -0.24456717; -0.24456715; -0.24456715; -0.24456715; -0.24456715;480
