a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;0 a a a 0 2 2 a;a 2 2 0 a a a 0;a a a 0 a 2 2 0;Z
0.34750369; -0.34750366;0.34750378; -0.34750375;0.34907484; -0.34907481;0.34907493; -0.34907490;100
0.34766007; -0.34766006;0.34766016; -0.34766015;0.34891868; -0.34891868;0.34891878; -0.34891878;105
0.34778092; -0.34778092;0.34778101; -0.34778101;0.34879794; -0.34879794;0.34879804; -0.34879804;110
0.34787521; -0.34787521;0.34787530; -0.34787530;0.34870368; -0.34870368;0.34870378; -0.34870378;115
0.34794947; -0.34794947;0.34794956; -0.34794956;0.34862943; -0.34862943;0.34862952; -0.34862952;120
0.34800844; -0.34800844;0.34800852; -0.34800852;0.34857044; -0.34857044;0.34857053; -0.34857053;125
0.34805564; -0.34805564;0.34805573; -0.34805573;0.34852321; -0.34852321;0.34852330; -0.34852330;130
0.34809370; -0.34809370;0.34809379; -0.34809379;0.34848511; -0.34848511;0.34848521; -0.34848521;135
0.34812462; -0.34812462;0.34812471; -0.34812471;0.34845417; -0.34845417;0.34845426; -0.34845426;140
0.34814989; -0.34814989;0.34814998; -0.34814998;0.34842887; -0.34842887;0.34842897; -0.34842897;145
0.34817068; -0.34817068;0.34817077; -0.34817077;0.34840806; -0.34840806;0.34840816; -0.34840816;150
0.34818787; -0.34818787;0.34818796; -0.34818796;0.34839084; -0.34839084;0.34839094; -0.34839094;155
0.34820218; -0.34820218;0.34820227; -0.34820227;0.34837651; -0.34837651;0.34837661; -0.34837661;160
0.34821415; -0.34821415;0.34821424; -0.34821424;0.34836453; -0.34836453;0.34836463; -0.34836463;165
0.34822421; -0.34822421;0.34822430; -0.34822430;0.34835446; -0.34835446;0.34835456; -0.34835456;170
0.34823270; -0.34823270;0.34823279; -0.34823279;0.34834596; -0.34834596;0.34834605; -0.34834605;175
0.34823990; -0.34823990;0.34823999; -0.34823999;0.34833874; -0.34833874;0.34833884; -0.34833884;180
0.34824604; -0.34824604;0.34824613; -0.34824613;0.34833260; -0.34833260;0.34833270; -0.34833270;185
0.34825128; -0.34825128;0.34825137; -0.34825137;0.34832735; -0.34832735;0.34832744; -0.34832744;190
0.34825579; -0.34825579;0.34825588; -0.34825588;0.34832284; -0.34832284;0.34832293; -0.34832293;195
0.34825967; -0.34825967;0.34825976; -0.34825976;0.34831895; -0.34831895;0.34831905; -0.34831905;200
0.34826303; -0.34826303;0.34826311; -0.34826311;0.34831559; -0.34831559;0.34831568; -0.34831568;205
0.34826594; -0.34826594;0.34826603; -0.34826603;0.34831267; -0.34831267;0.34831277; -0.34831277;210
0.34826847; -0.34826847;0.34826856; -0.34826856;0.34831013; -0.34831013;0.34831023; -0.34831023;215
0.34827068; -0.34827068;0.34827077; -0.34827077;0.34830792; -0.34830792;0.34830802; -0.34830802;220
0.34827262; -0.34827262;0.34827271; -0.34827271;0.34830598; -0.34830598;0.34830608; -0.34830608;225
0.34827432; -0.34827432;0.34827441; -0.34827441;0.34830428; -0.34830428;0.34830437; -0.34830437;230
0.34827582; -0.34827582;0.34827591; -0.34827591;0.34830278; -0.34830278;0.34830287; -0.34830287;235
0.34827714; -0.34827714;0.34827723; -0.34827723;0.34830145; -0.34830145;0.34830155; -0.34830155;240
0.34827831; -0.34827831;0.34827840; -0.34827840;0.34830028; -0.34830028;0.34830038; -0.34830038;245
0.34827935; -0.34827935;0.34827944; -0.34827944;0.34829924; -0.34829924;0.34829934; -0.34829934;250
0.34828027; -0.34828027;0.34828036; -0.34828036;0.34829832; -0.34829832;0.34829842; -0.34829842;255
0.34828109; -0.34828109;0.34828118; -0.34828118;0.34829750; -0.34829750;0.34829759; -0.34829759;260
0.34828182; -0.34828182;0.34828191; -0.34828191;0.34829676; -0.34829676;0.34829686; -0.34829686;265
0.34828248; -0.34828248;0.34828257; -0.34828257;0.34829610; -0.34829610;0.34829620; -0.34829620;270
0.34828307; -0.34828307;0.34828316; -0.34828316;0.34829552; -0.34829552;0.34829561; -0.34829561;275
0.34828360; -0.34828360;0.34828369; -0.34828369;0.34829499; -0.34829499;0.34829508; -0.34829508;280
0.34828407; -0.34828407;0.34828416; -0.34828416;0.34829451; -0.34829451;0.34829461; -0.34829461;285
0.34828450; -0.34828450;0.34828459; -0.34828459;0.34829408; -0.34829408;0.34829418; -0.34829418;290
