a 2 a a 0 a 2 0;a a 2 a 0 2 a 0;0 2 a 0 a a 2 a;0 a 2 0 a 2 a a;0 2 2 a a a a 0;a 2 2 0 0 a a a;0 a a a a 2 2 0;a a a 0 0 2 2 a;Z
 -0.34938460; -0.34938460;0.34938460;0.34938460;0.34938494;0.34938494; -0.34938494; -0.34938494;380
 -0.34938461; -0.34938461;0.34938461;0.34938461;0.34938492;0.34938492; -0.34938492; -0.34938492;385
 -0.34938462; -0.34938462;0.34938462;0.34938462;0.34938491;0.34938491; -0.34938491; -0.34938491;390
 -0.34938463; -0.34938463;0.34938463;0.34938463;0.34938491;0.34938491; -0.34938491; -0.34938491;395
 -0.34938463; -0.34938463;0.34938463;0.34938463;0.34938490;0.34938490; -0.34938490; -0.34938490;400
 -0.34938464; -0.34938464;0.34938464;0.34938464;0.34938489;0.34938489; -0.34938489; -0.34938489;405
 -0.34938465; -0.34938465;0.34938465;0.34938465;0.34938488;0.34938488; -0.34938488; -0.34938488;410
 -0.34938466; -0.34938466;0.34938466;0.34938466;0.34938487;0.34938487; -0.34938487; -0.34938487;415
 -0.34938466; -0.34938466;0.34938466;0.34938466;0.34938487;0.34938487; -0.34938487; -0.34938487;420
 -0.34938467; -0.34938467;0.34938467;0.34938467;0.34938486;0.34938486; -0.34938486; -0.34938486;425
 -0.34938467; -0.34938467;0.34938467;0.34938467;0.34938486;0.34938486; -0.34938486; -0.34938486;430
 -0.34938468; -0.34938468;0.34938468;0.34938468;0.34938485;0.34938485; -0.34938485; -0.34938485;435
 -0.34938468; -0.34938468;0.34938468;0.34938468;0.34938485;0.34938485; -0.34938485; -0.34938485;440
 -0.34938469; -0.34938469;0.34938469;0.34938469;0.34938484;0.34938484; -0.34938484; -0.34938484;445
 -0.34938469; -0.34938469;0.34938469;0.34938469;0.34938484;0.34938484; -0.34938484; -0.34938484;450
 -0.34938470; -0.34938470;0.34938470;0.34938470;0.34938483;0.34938483; -0.34938483; -0.34938483;455
 -0.34938470; -0.34938470;0.34938470;0.34938470;0.34938483;0.34938483; -0.34938483; -0.34938483;460
 -0.34938470; -0.34938470;0.34938470;0.34938470;0.34938483;0.34938483; -0.34938483; -0.34938483;465
 -0.34938471; -0.34938471;0.34938471;0.34938471;0.34938482;0.34938482; -0.34938482; -0.34938482;470
 -0.34938471; -0.34938471;0.34938471;0.34938471;0.34938482;0.34938482; -0.34938482; -0.34938482;475
 -0.34938471; -0.34938471;0.34938471;0.34938471;0.34938482;0.34938482; -0.34938482; -0.34938482;480
 -0.34938472; -0.34938472;0.34938472;0.34938472;0.34938482;0.34938482; -0.34938482; -0.34938482;485
 -0.34938472; -0.34938472;0.34938472;0.34938472;0.34938481;0.34938481; -0.34938481; -0.34938481;490
 -0.34938472; -0.34938472;0.34938472;0.34938472;0.34938481;0.34938481; -0.34938481; -0.34938481;495
 -0.34938472; -0.34938472;0.34938472;0.34938472;0.34938481;0.34938481; -0.34938481; -0.34938481;500
 -0.34938472; -0.34938472;0.34938472;0.34938472;0.34938481;0.34938481; -0.34938481; -0.34938481;505
 -0.34938473; -0.34938473;0.34938473;0.34938473;0.34938480;0.34938480; -0.34938480; -0.34938480;510
 -0.34938473; -0.34938473;0.34938473;0.34938473;0.34938480;0.34938480; -0.34938480; -0.34938480;515
 -0.34938473; -0.34938473;0.34938473;0.34938473;0.34938480;0.34938480; -0.34938480; -0.34938480;520
 -0.34938473; -0.34938473;0.34938473;0.34938473;0.34938480;0.34938480; -0.34938480; -0.34938480;525
 -0.34938473; -0.34938473;0.34938473;0.34938473;0.34938480;0.34938480; -0.34938480; -0.34938480;530
 -0.34938473; -0.34938473;0.34938473;0.34938473;0.34938480;0.34938480; -0.34938480; -0.34938480;535
 -0.34938474; -0.34938474;0.34938474;0.34938474;0.34938479;0.34938479; -0.34938479; -0.34938479;540
 -0.34938474; -0.34938474;0.34938474;0.34938474;0.34938479;0.34938479; -0.34938479; -0.34938479;545
 -0.34938474; -0.34938474;0.34938474;0.34938474;0.34938479;0.34938479; -0.34938479; -0.34938479;550
 -0.34938474; -0.34938474;0.34938474;0.34938474;0.34938479;0.34938479; -0.34938479; -0.34938479;555
 -0.34938474; -0.34938474;0.34938474;0.34938474;0.34938479;0.34938479; -0.34938479; -0.34938479;560
 -0.34938474; -0.34938474;0.34938474;0.34938474;0.34938479;0.34938479; -0.34938479; -0.34938479;565
 -0.34938474; -0.34938474;0.34938474;0.34938474;0.34938479;0.34938479; -0.34938479; -0.34938479;570
 -0.34938474; -0.34938474;0.34938474;0.34938474;0.34938479;0.34938479; -0.34938479; -0.34938479;575
 -0.34938474; -0.34938474;0.34938474;0.34938474;0.34938479;0.34938479; -0.34938479; -0.34938479;580
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938479;0.34938479; -0.34938479; -0.34938479;585
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;590
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;595
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;600
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;605
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;610
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;615
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;620
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;625
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;630
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;635
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;640
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;645
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;650
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;655
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;660
 -0.34938475; -0.34938475;0.34938475;0.34938475;0.34938478;0.34938478; -0.34938478; -0.34938478;665
 -0.34938476; -0.34938476;0.34938476;0.34938476;0.34938478;0.34938478; -0.34938478; -0.34938478;670
 -0.34938476; -0.34938476;0.34938476;0.34938476;0.34938478;0.34938478; -0.34938478; -0.34938478;675
 -0.34938476; -0.34938476;0.34938476;0.34938476;0.34938477;0.34938477; -0.34938477; -0.34938477;680
 -0.34938476; -0.34938476;0.34938476;0.34938476;0.34938477;0.34938477; -0.34938477; -0.34938477;685
 -0.34938476; -0.34938476;0.34938476;0.34938476;0.34938477;0.34938477; -0.34938477; -0.34938477;690
 -0.34938476; -0.34938476;0.34938476;0.34938476;0.34938477;0.34938477; -0.34938477; -0.34938477;695
 -0.34938476; -0.34938476;0.34938476;0.34938476;0.34938477;0.34938477; -0.34938477; -0.34938477;700
