a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a a 2 0 0 2 a a;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;0 2 a a a a 2 0;Z
 -0.35264756; -0.35264759;0.35267932;0.35267938;0.00001590; -0.00001590; -0.00001590;0.00001590;0.35266345;0.35266345;0.35266345;0.35266345;100
 -0.35264223; -0.35264227;0.35268458;0.35268463;0.00002119; -0.00002119; -0.00002119;0.00002119;0.35266341;0.35266341;0.35266341;0.35266341;105
 -0.35263553; -0.35263556;0.35269122;0.35269128;0.00002786; -0.00002786; -0.00002786;0.00002786;0.35266339;0.35266339;0.35266339;0.35266339;110
 -0.35262716; -0.35262720;0.35269955;0.35269960;0.00003621; -0.00003621; -0.00003621;0.00003621;0.35266336;0.35266336;0.35266336;0.35266336;115
 -0.35261680; -0.35261683;0.35270987;0.35270993;0.00004656; -0.00004656; -0.00004656;0.00004656;0.35266334;0.35266334;0.35266334;0.35266334;120
 -0.35260409; -0.35260412;0.35272255;0.35272261;0.00005925; -0.00005925; -0.00005925;0.00005925;0.35266333;0.35266333;0.35266333;0.35266333;125
 -0.35258859; -0.35258863;0.35273802;0.35273808;0.00007473; -0.00007473; -0.00007473;0.00007473;0.35266331;0.35266331;0.35266331;0.35266331;130
 -0.35256988; -0.35256991;0.35275670;0.35275676;0.00009343; -0.00009343; -0.00009343;0.00009343;0.35266330;0.35266330;0.35266330;0.35266330;135
 -0.35254740; -0.35254744;0.35277915;0.35277921;0.00011590; -0.00011590; -0.00011590;0.00011590;0.35266328;0.35266328;0.35266328;0.35266328;140
 -0.35252055; -0.35252059;0.35280597;0.35280603;0.00014273; -0.00014273; -0.00014273;0.00014273;0.35266327;0.35266327;0.35266327;0.35266327;145
 -0.35248873; -0.35248877;0.35283776;0.35283781;0.00017454; -0.00017454; -0.00017454;0.00017454;0.35266325;0.35266325;0.35266325;0.35266325;150
 -0.35245123; -0.35245126;0.35287521;0.35287527;0.00021202; -0.00021202; -0.00021202;0.00021202;0.35266322;0.35266322;0.35266322;0.35266322;155
 -0.35240717; -0.35240720;0.35291921;0.35291926;0.00025604; -0.00025604; -0.00025604;0.00025604;0.35266319;0.35266319;0.35266319;0.35266319;160
 -0.35235570; -0.35235573;0.35297059;0.35297064;0.00030747; -0.00030747; -0.00030747;0.00030747;0.35266314;0.35266314;0.35266314;0.35266314;165
 -0.35229591; -0.35229594;0.35303026;0.35303031;0.00036720; -0.00036720; -0.00036720;0.00036720;0.35266308;0.35266308;0.35266308;0.35266308;170
 -0.35222671; -0.35222675;0.35309929;0.35309935;0.00043632; -0.00043632; -0.00043632;0.00043632;0.35266300;0.35266300;0.35266300;0.35266300;175
 -0.35214695; -0.35214698;0.35317884;0.35317890;0.00051597; -0.00051597; -0.00051597;0.00051597;0.35266289;0.35266289;0.35266289;0.35266289;180
 -0.35205538; -0.35205542;0.35327011;0.35327017;0.00060739; -0.00060739; -0.00060739;0.00060739;0.35266275;0.35266275;0.35266275;0.35266275;185
 -0.35195060; -0.35195064;0.35337450;0.35337456;0.00071198; -0.00071198; -0.00071198;0.00071198;0.35266255;0.35266255;0.35266255;0.35266255;190
 -0.35183114; -0.35183118;0.35349344;0.35349349;0.00083118; -0.00083118; -0.00083118;0.00083118;0.35266229;0.35266229;0.35266229;0.35266229;195
 -0.35169544; -0.35169548;0.35362844;0.35362850;0.00096653; -0.00096653; -0.00096653;0.00096653;0.35266194;0.35266194;0.35266194;0.35266194;200
 -0.35154167; -0.35154170;0.35378131;0.35378137;0.00111985; -0.00111985; -0.00111985;0.00111985;0.35266148;0.35266148;0.35266148;0.35266148;205
 -0.35136812; -0.35136815;0.35395368;0.35395373;0.00129281; -0.00129281; -0.00129281;0.00129281;0.35266089;0.35266089;0.35266089;0.35266089;210
 -0.35117237; -0.35117241;0.35414788;0.35414794;0.00148779; -0.00148779; -0.00148779;0.00148779;0.35266012;0.35266012;0.35266012;0.35266012;215
