a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;a 2 2 0 a a a 0;0 a a a 0 2 2 a;a a a 0 a 2 2 0;Z
 -0.35097600;0.35097593;0.35097596; -0.35097590; -0.35092412;0.35092405;0.35092407; -0.35092400;100
 -0.35097028;0.35097027;0.35097024; -0.35097024; -0.35092988;0.35092981;0.35092987; -0.35092980;105
 -0.35096603;0.35096603;0.35096599; -0.35096599; -0.35093419;0.35093412;0.35093419; -0.35093412;110
 -0.35096282;0.35096282;0.35096278; -0.35096278; -0.35093745;0.35093738;0.35093745; -0.35093738;115
 -0.35096036;0.35096036;0.35096032; -0.35096032; -0.35093994;0.35093988;0.35093994; -0.35093988;120
 -0.35095845;0.35095845;0.35095842; -0.35095842; -0.35094188;0.35094181;0.35094188; -0.35094181;125
 -0.35095696;0.35095696;0.35095693; -0.35095693; -0.35094339;0.35094332;0.35094339; -0.35094332;130
 -0.35095578;0.35095578;0.35095575; -0.35095575; -0.35094459;0.35094452;0.35094459; -0.35094452;135
 -0.35095485;0.35095485;0.35095481; -0.35095481; -0.35094554;0.35094547;0.35094554; -0.35094547;140
 -0.35095409;0.35095409;0.35095406; -0.35095406; -0.35094631;0.35094624;0.35094631; -0.35094624;145
 -0.35095348;0.35095348;0.35095345; -0.35095345; -0.35094693;0.35094686;0.35094693; -0.35094686;150
 -0.35095298;0.35095298;0.35095295; -0.35095295; -0.35094743;0.35094737;0.35094743; -0.35094737;155
 -0.35095257;0.35095257;0.35095254; -0.35095254; -0.35094785;0.35094778;0.35094785; -0.35094778;160
 -0.35095223;0.35095223;0.35095220; -0.35095220; -0.35094819;0.35094813;0.35094819; -0.35094813;165
 -0.35095195;0.35095195;0.35095192; -0.35095192; -0.35094848;0.35094841;0.35094848; -0.35094841;170
 -0.35095171;0.35095171;0.35095168; -0.35095168; -0.35094872;0.35094865;0.35094872; -0.35094865;175
 -0.35095151;0.35095151;0.35095148; -0.35095148; -0.35094892;0.35094885;0.35094892; -0.35094885;180
 -0.35095135;0.35095135;0.35095131; -0.35095131; -0.35094909;0.35094902;0.35094909; -0.35094902;185
 -0.35095120;0.35095120;0.35095117; -0.35095117; -0.35094924;0.35094917;0.35094924; -0.35094917;190
 -0.35095108;0.35095108;0.35095105; -0.35095105; -0.35094936;0.35094929;0.35094936; -0.35094929;195
 -0.35095098;0.35095098;0.35095095; -0.35095095; -0.35094946;0.35094940;0.35094946; -0.35094940;200
 -0.35095089;0.35095089;0.35095086; -0.35095086; -0.35094955;0.35094949;0.35094955; -0.35094949;205
 -0.35095081;0.35095081;0.35095078; -0.35095078; -0.35094963;0.35094956;0.35094963; -0.35094956;210
 -0.35095075;0.35095075;0.35095071; -0.35095071; -0.35094970;0.35094963;0.35094970; -0.35094963;215
 -0.35095069;0.35095069;0.35095066; -0.35095066; -0.35094976;0.35094969;0.35094976; -0.35094969;220
 -0.35095064;0.35095064;0.35095061; -0.35095061; -0.35094981;0.35094974;0.35094981; -0.35094974;225
 -0.35095059;0.35095059;0.35095056; -0.35095056; -0.35094985;0.35094979;0.35094985; -0.35094979;230
 -0.35095056;0.35095056;0.35095052; -0.35095052; -0.35094989;0.35094983;0.35094989; -0.35094983;235
 -0.35095052;0.35095052;0.35095049; -0.35095049; -0.35094993;0.35094986;0.35094993; -0.35094986;240
 -0.35095049;0.35095049;0.35095046; -0.35095046; -0.35094996;0.35094989;0.35094996; -0.35094989;245
 -0.35095047;0.35095047;0.35095043; -0.35095043; -0.35094998;0.35094992;0.35094998; -0.35094992;250
 -0.35095044;0.35095044;0.35095041; -0.35095041; -0.35095001;0.35094994;0.35095001; -0.35094994;255
 -0.35095042;0.35095042;0.35095039; -0.35095039; -0.35095003;0.35094996;0.35095003; -0.35094996;260
 -0.35095040;0.35095040;0.35095037; -0.35095037; -0.35095005;0.35094998;0.35095005; -0.35094998;265
 -0.35095039;0.35095039;0.35095035; -0.35095035; -0.35095007;0.35095000;0.35095007; -0.35095000;270
 -0.35095037;0.35095037;0.35095034; -0.35095034; -0.35095008;0.35095001;0.35095008; -0.35095001;275
 -0.35095036;0.35095036;0.35095033; -0.35095033; -0.35095009;0.35095003;0.35095009; -0.35095003;280
 -0.35095035;0.35095035;0.35095031; -0.35095031; -0.35095011;0.35095004;0.35095011; -0.35095004;285
 -0.35095034;0.35095034;0.35095030; -0.35095030; -0.35095012;0.35095005;0.35095012; -0.35095005;290
 -0.35095033;0.35095033;0.35095029; -0.35095029; -0.35095013;0.35095006;0.35095013; -0.35095006;295
 -0.35095032;0.35095032;0.35095028; -0.35095028; -0.35095014;0.35095007;0.35095014; -0.35095007;300
 -0.35095031;0.35095031;0.35095028; -0.35095028; -0.35095014;0.35095008;0.35095014; -0.35095008;305
 -0.35095030;0.35095030;0.35095027; -0.35095027; -0.35095015;0.35095008;0.35095015; -0.35095008;310
 -0.35095030;0.35095030;0.35095026; -0.35095026; -0.35095016;0.35095009;0.35095016; -0.35095009;315
 -0.35095029;0.35095029;0.35095026; -0.35095026; -0.35095016;0.35095010;0.35095016; -0.35095010;320
 -0.35095028;0.35095028;0.35095025; -0.35095025; -0.35095017;0.35095010;0.35095017; -0.35095010;325
 -0.35095028;0.35095028;0.35095025; -0.35095025; -0.35095017;0.35095011;0.35095017; -0.35095011;330
 -0.35095028;0.35095028;0.35095024; -0.35095024; -0.35095018;0.35095011;0.35095018; -0.35095011;335
 -0.35095027;0.35095027;0.35095024; -0.35095024; -0.35095018;0.35095011;0.35095018; -0.35095011;340
 -0.35095027;0.35095027;0.35095023; -0.35095023; -0.35095019;0.35095012;0.35095019; -0.35095012;345
 -0.35095026;0.35095026;0.35095023; -0.35095023; -0.35095019;0.35095012;0.35095019; -0.35095012;350
 -0.35095026;0.35095026;0.35095023; -0.35095023; -0.35095019;0.35095013;0.35095019; -0.35095013;355
 -0.35095026;0.35095026;0.35095023; -0.35095023; -0.35095020;0.35095013;0.35095020; -0.35095013;360
 -0.35095026;0.35095026;0.35095022; -0.35095022; -0.35095020;0.35095013;0.35095020; -0.35095013;365
