a a 2 0 0 a 2 a;0 a 2 a a a 2 0;0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;a 2 a 0 0 2 a a;0 2 a a a 2 a 0;Z
 -0.35274342; -0.35274342;0.35274341;0.35274341; -0.35274337; -0.35274337;0.35274336;0.35274336;100
 -0.35274345; -0.35274345;0.35274343;0.35274343; -0.35274340; -0.35274340;0.35274338;0.35274338;105
 -0.35274347; -0.35274347;0.35274345;0.35274345; -0.35274342; -0.35274342;0.35274340;0.35274340;110
 -0.35274348; -0.35274348;0.35274347;0.35274347; -0.35274343; -0.35274343;0.35274342;0.35274342;115
 -0.35274350; -0.35274350;0.35274348;0.35274348; -0.35274345; -0.35274345;0.35274343;0.35274343;120
 -0.35274351; -0.35274351;0.35274349;0.35274349; -0.35274346; -0.35274346;0.35274344;0.35274344;125
 -0.35274351; -0.35274351;0.35274350;0.35274350; -0.35274346; -0.35274346;0.35274345;0.35274345;130
 -0.35274352; -0.35274352;0.35274350;0.35274350; -0.35274347; -0.35274347;0.35274345;0.35274345;135
 -0.35274353; -0.35274353;0.35274351;0.35274351; -0.35274348; -0.35274348;0.35274346;0.35274346;140
 -0.35274353; -0.35274353;0.35274351;0.35274351; -0.35274348; -0.35274348;0.35274346;0.35274346;145
 -0.35274353; -0.35274353;0.35274352;0.35274352; -0.35274348; -0.35274348;0.35274347;0.35274347;150
 -0.35274354; -0.35274354;0.35274352;0.35274352; -0.35274349; -0.35274349;0.35274347;0.35274347;155
 -0.35274354; -0.35274354;0.35274352;0.35274352; -0.35274349; -0.35274349;0.35274347;0.35274347;160
 -0.35274354; -0.35274354;0.35274352;0.35274352; -0.35274349; -0.35274349;0.35274347;0.35274347;165
 -0.35274354; -0.35274354;0.35274353;0.35274353; -0.35274349; -0.35274349;0.35274348;0.35274348;170
 -0.35274354; -0.35274354;0.35274353;0.35274353; -0.35274349; -0.35274349;0.35274348;0.35274348;175
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;180
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;185
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;190
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;195
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;200
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;205
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;210
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;215
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;220
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;225
 -0.35274355; -0.35274355;0.35274353;0.35274353; -0.35274350; -0.35274350;0.35274348;0.35274348;230
 -0.35274355; -0.35274355;0.35274354;0.35274354; -0.35274350; -0.35274350;0.35274349;0.35274349;235
 -0.35274355; -0.35274355;0.35274354;0.35274354; -0.35274350; -0.35274350;0.35274349;0.35274349;240
 -0.35274355; -0.35274355;0.35274354;0.35274354; -0.35274350; -0.35274350;0.35274349;0.35274349;245
