a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;0 a a a 0 2 2 a;a 2 2 0 a a a 0;a a a 0 a 2 2 0;Z
0.35296431; -0.35296431;0.35296422; -0.35296422; -0.35290589;0.35290589; -0.35290580;0.35290580;200
0.35296100; -0.35296100;0.35296091; -0.35296091; -0.35290920;0.35290920; -0.35290911;0.35290911;205
0.35295813; -0.35295813;0.35295804; -0.35295804; -0.35291208;0.35291208; -0.35291198;0.35291198;210
0.35295563; -0.35295563;0.35295554; -0.35295554; -0.35291458;0.35291458; -0.35291448;0.35291448;215
0.35295345; -0.35295345;0.35295336; -0.35295336; -0.35291676;0.35291676; -0.35291666;0.35291666;220
0.35295154; -0.35295154;0.35295145; -0.35295145; -0.35291867;0.35291867; -0.35291858;0.35291858;225
0.35294987; -0.35294987;0.35294978; -0.35294978; -0.35292035;0.35292035; -0.35292025;0.35292025;230
0.35294839; -0.35294839;0.35294830; -0.35294830; -0.35292183;0.35292183; -0.35292173;0.35292173;235
0.35294709; -0.35294709;0.35294700; -0.35294700; -0.35292313;0.35292313; -0.35292303;0.35292303;240
0.35294594; -0.35294594;0.35294585; -0.35294585; -0.35292428;0.35292428; -0.35292419;0.35292419;245
0.35294491; -0.35294491;0.35294483; -0.35294483; -0.35292531;0.35292531; -0.35292521;0.35292521;250
0.35294400; -0.35294400;0.35294392; -0.35294392; -0.35292622;0.35292622; -0.35292612;0.35292612;255
0.35294319; -0.35294319;0.35294311; -0.35294311; -0.35292703;0.35292703; -0.35292693;0.35292693;260
0.35294247; -0.35294247;0.35294238; -0.35294238; -0.35292775;0.35292775; -0.35292766;0.35292766;265
0.35294182; -0.35294182;0.35294174; -0.35294174; -0.35292840;0.35292840; -0.35292830;0.35292830;270
0.35294124; -0.35294124;0.35294116; -0.35294116; -0.35292898;0.35292898; -0.35292888;0.35292888;275
0.35294072; -0.35294072;0.35294063; -0.35294063; -0.35292950;0.35292950; -0.35292941;0.35292941;280
0.35294025; -0.35294025;0.35294017; -0.35294017; -0.35292997;0.35292997; -0.35292987;0.35292987;285
0.35293983; -0.35293983;0.35293974; -0.35293974; -0.35293039;0.35293039; -0.35293030;0.35293030;290
0.35293945; -0.35293945;0.35293936; -0.35293936; -0.35293078;0.35293078; -0.35293068;0.35293068;295
0.35293910; -0.35293910;0.35293902; -0.35293902; -0.35293112;0.35293112; -0.35293103;0.35293103;300
0.35293879; -0.35293879;0.35293870; -0.35293870; -0.35293143;0.35293143; -0.35293134;0.35293134;305
