a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;Z
0.35725762;0.35725765;0.34800575;0.34800581;0.35263412; -0.35263412; -0.35263412;0.35263412; -0.00462863; -0.00462863; -0.00462863; -0.00462863;260
0.35780772;0.35780775;0.34744036;0.34744041;0.35262625; -0.35262625; -0.35262625;0.35262625; -0.00518613; -0.00518613; -0.00518613; -0.00518613;265
0.35841125;0.35841128;0.34681793;0.34681799;0.35261661; -0.35261661; -0.35261661;0.35261661; -0.00579889; -0.00579889; -0.00579889; -0.00579889;270
0.35907135;0.35907138;0.34613464;0.34613470;0.35260484; -0.35260484; -0.35260484;0.35260484; -0.00647039; -0.00647039; -0.00647039; -0.00647039;275
0.35979317;0.35979321;0.34538443;0.34538448;0.35259049; -0.35259049; -0.35259049;0.35259049; -0.00720624; -0.00720624; -0.00720624; -0.00720624;280
0.36057609;0.36057613;0.34456713;0.34456719;0.35257316; -0.35257316; -0.35257316;0.35257316; -0.00800619; -0.00800619; -0.00800619; -0.00800619;285
0.36143192;0.36143195;0.34366945;0.34366950;0.35255210; -0.35255210; -0.35255210;0.35255210; -0.00888280; -0.00888280; -0.00888280; -0.00888280;290
0.36236113;0.36236116;0.34268967;0.34268973;0.35252671; -0.35252671; -0.35252671;0.35252671; -0.00983716; -0.00983716; -0.00983716; -0.00983716;295
0.36337036;0.36337039;0.34161946;0.34161951;0.35249611; -0.35249611; -0.35249611;0.35249611; -0.01087677; -0.01087677; -0.01087677; -0.01087677;300
0.36445882;0.36445886;0.34045808;0.34045813;0.35245956; -0.35245956; -0.35245956;0.35245956; -0.01200159; -0.01200159; -0.01200159; -0.01200159;305
0.36563730;0.36563734;0.33919222;0.33919227;0.35241578; -0.35241578; -0.35241578;0.35241578; -0.01322366; -0.01322366; -0.01322366; -0.01322366;310
0.36691075;0.36691079;0.33781437;0.33781443;0.35236351; -0.35236351; -0.35236351;0.35236351; -0.01454922; -0.01454922; -0.01454922; -0.01454922;315
0.36827306;0.36827309;0.33632879;0.33632884;0.35230180; -0.35230180; -0.35230180;0.35230180; -0.01597309; -0.01597309; -0.01597309; -0.01597309;320
0.36974166;0.36974170;0.33471368;0.33471373;0.35222849; -0.35222849; -0.35222849;0.35222849; -0.01751488; -0.01751488; -0.01751488; -0.01751488;325
0.37131515;0.37131519;0.33296733;0.33296738;0.35214200; -0.35214200; -0.35214200;0.35214200; -0.01917473; -0.01917473; -0.01917473; -0.01917473;330
0.37299810;0.37299814;0.33108101;0.33108107;0.35204026; -0.35204026; -0.35204026;0.35204026; -0.02095930; -0.02095930; -0.02095930; -0.02095930;335
0.37480362;0.37480366;0.32903571;0.32903576;0.35192032; -0.35192032; -0.35192032;0.35192032; -0.02288466; -0.02288466; -0.02288466; -0.02288466;340
0.37672721;0.37672725;0.32683160;0.32683165;0.35178002; -0.35178002; -0.35178002;0.35178002; -0.02494847; -0.02494847; -0.02494847; -0.02494847;345
0.37876470;0.37876474;0.32446820;0.32446826;0.35161702; -0.35161702; -0.35161702;0.35161702; -0.02714886; -0.02714886; -0.02714886; -0.02714886;350
0.38093386;0.38093390;0.32191883;0.32191889;0.35142688; -0.35142688; -0.35142688;0.35142688; -0.02950808; -0.02950808; -0.02950808; -0.02950808;355
0.38323100;0.38323104;0.31918077;0.31918083;0.35120638; -0.35120638; -0.35120638;0.35120638; -0.03202564; -0.03202564; -0.03202564; -0.03202564;360
0.38565678;0.38565681;0.31624554;0.31624559;0.35095162; -0.35095162; -0.35095162;0.35095162; -0.03470611; -0.03470611; -0.03470611; -0.03470611;365
0.38821256;0.38821260;0.31310288;0.31310293;0.35065816; -0.35065816; -0.35065816;0.35065816; -0.03755530; -0.03755530; -0.03755530; -0.03755530;370
0.39090552;0.39090556;0.30973424;0.30973429;0.35032029; -0.35032029; -0.35032029;0.35032029; -0.04058607; -0.04058607; -0.04058607; -0.04058607;375
0.39371685;0.39371688;0.30615272;0.30615277;0.34993517; -0.34993517; -0.34993517;0.34993517; -0.04378246; -0.04378246; -0.04378246; -0.04378246;380
0.39666308;0.39666312;0.30232575;0.30232580;0.34949478; -0.34949478; -0.34949478;0.34949478; -0.04716904; -0.04716904; -0.04716904; -0.04716904;385
0.39972494;0.39972497;0.29826574;0.29826579;0.34899568; -0.34899568; -0.34899568;0.34899568; -0.05072995; -0.05072995; -0.05072995; -0.05072995;390
0.40290846;0.40290849;0.29395113;0.29395118;0.34843011; -0.34843011; -0.34843011;0.34843011; -0.05447899; -0.05447899; -0.05447899; -0.05447899;395
0.40619760;0.40619763;0.28938904;0.28938909;0.34779362; -0.34779362; -0.34779362;0.34779362; -0.05840459; -0.05840459; -0.05840459; -0.05840459;400
0.40958912;0.40958916;0.28456857;0.28456862;0.34707913; -0.34707913; -0.34707913;0.34707913; -0.06251056; -0.06251056; -0.06251056; -0.06251056;405
0.41308038;0.41308042;0.27947652;0.27947656;0.34627872; -0.34627872; -0.34627872;0.34627872; -0.06680221; -0.06680221; -0.06680221; -0.06680221;410
0.41663562;0.41663566;0.27414832;0.27414836;0.34539222; -0.34539222; -0.34539222;0.34539222; -0.07124391; -0.07124391; -0.07124391; -0.07124391;415
0.42027048;0.42027052;0.26854287;0.26854291;0.34440691; -0.34440691; -0.34440691;0.34440691; -0.07586405; -0.07586405; -0.07586405; -0.07586405;420
0.42394968;0.42394972;0.26269607;0.26269611;0.34332310; -0.34332310; -0.34332310;0.34332310; -0.08062703; -0.08062703; -0.08062703; -0.08062703;425
0.42764036;0.42764040;0.25664429;0.25664433;0.34214254; -0.34214254; -0.34214254;0.34214254; -0.08549825; -0.08549825; -0.08549825; -0.08549825;430
