a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;Z
0.49405629;0.49405624;0.00019611;0.00019611; -0.24673401;0.24673398;0.24673398; -0.24673395;0.24693008;0.24693008;0.24693008;0.24693008;100
0.49401524;0.49401519;0.00015512;0.00015512; -0.24677493;0.24677493;0.24677493; -0.24677492;0.24693004;0.24693004;0.24693004;0.24693004;105
0.49398402;0.49398397;0.00012397;0.00012397; -0.24680604;0.24680604;0.24680604; -0.24680604;0.24693001;0.24693001;0.24693001;0.24693001;110
0.49396000;0.49395996;0.00010001;0.00010001; -0.24682997;0.24682997;0.24682997; -0.24682997;0.24692998;0.24692998;0.24692998;0.24692998;115
0.49394133;0.49394128;0.00008138;0.00008138; -0.24684858;0.24684858;0.24684858; -0.24684858;0.24692996;0.24692996;0.24692996;0.24692996;120
0.49392666;0.49392661;0.00006676;0.00006676; -0.24686318;0.24686318;0.24686318; -0.24686318;0.24692994;0.24692994;0.24692994;0.24692994;125
0.49391504;0.49391499;0.00005517;0.00005517; -0.24687476;0.24687476;0.24687476; -0.24687476;0.24692992;0.24692992;0.24692992;0.24692992;130
0.49390574;0.49390570;0.00004590;0.00004590; -0.24688401;0.24688401;0.24688401; -0.24688401;0.24692991;0.24692991;0.24692991;0.24692991;135
0.49389825;0.49389821;0.00003844;0.00003844; -0.24689146;0.24689146;0.24689146; -0.24689146;0.24692990;0.24692990;0.24692990;0.24692990;140
0.49389218;0.49389213;0.00003238;0.00003238; -0.24689750;0.24689750;0.24689750; -0.24689750;0.24692989;0.24692989;0.24692989;0.24692989;145
0.49388721;0.49388716;0.00002743;0.00002743; -0.24690244;0.24690244;0.24690244; -0.24690244;0.24692988;0.24692988;0.24692988;0.24692988;150
0.49388312;0.49388308;0.00002336;0.00002336; -0.24690651;0.24690651;0.24690651; -0.24690651;0.24692987;0.24692987;0.24692987;0.24692987;155
0.49387974;0.49387970;0.00001999;0.00001999; -0.24690987;0.24690987;0.24690987; -0.24690987;0.24692986;0.24692986;0.24692986;0.24692986;160
0.49387693;0.49387688;0.00001719;0.00001719; -0.24691267;0.24691267;0.24691267; -0.24691267;0.24692986;0.24692986;0.24692986;0.24692986;165
0.49387457;0.49387453;0.00001484;0.00001484; -0.24691501;0.24691501;0.24691501; -0.24691501;0.24692985;0.24692985;0.24692985;0.24692985;170
0.49387259;0.49387255;0.00001287;0.00001287; -0.24691698;0.24691698;0.24691698; -0.24691698;0.24692985;0.24692985;0.24692985;0.24692985;175
0.49387092;0.49387087;0.00001120;0.00001120; -0.24691864;0.24691864;0.24691864; -0.24691864;0.24692985;0.24692985;0.24692985;0.24692985;180
0.49386950;0.49386945;0.00000979;0.00000979; -0.24692006;0.24692006;0.24692006; -0.24692006;0.24692984;0.24692984;0.24692984;0.24692984;185
0.49386829;0.49386824;0.00000858;0.00000858; -0.24692126;0.24692126;0.24692126; -0.24692126;0.24692984;0.24692984;0.24692984;0.24692984;190
0.49386725;0.49386721;0.00000755;0.00000755; -0.24692229;0.24692229;0.24692229; -0.24692229;0.24692984;0.24692984;0.24692984;0.24692984;195
0.49386636;0.49386632;0.00000666;0.00000666; -0.24692317;0.24692317;0.24692317; -0.24692317;0.24692984;0.24692984;0.24692984;0.24692984;200
0.49386559;0.49386555;0.00000590;0.00000590; -0.24692394;0.24692394;0.24692394; -0.24692394;0.24692984;0.24692984;0.24692984;0.24692984;205
0.49386493;0.49386488;0.00000524;0.00000524; -0.24692460;0.24692460;0.24692460; -0.24692460;0.24692983;0.24692983;0.24692983;0.24692983;210
0.49386435;0.49386430;0.00000466;0.00000466; -0.24692517;0.24692517;0.24692517; -0.24692517;0.24692983;0.24692983;0.24692983;0.24692983;215
0.49386385;0.49386380;0.00000416;0.00000416; -0.24692567;0.24692567;0.24692567; -0.24692567;0.24692983;0.24692983;0.24692983;0.24692983;220
0.49386341;0.49386336;0.00000372;0.00000372; -0.24692611;0.24692611;0.24692611; -0.24692611;0.24692983;0.24692983;0.24692983;0.24692983;225
0.49386302;0.49386298;0.00000334;0.00000334; -0.24692649;0.24692649;0.24692649; -0.24692649;0.24692983;0.24692983;0.24692983;0.24692983;230
0.49386268;0.49386264;0.00000300;0.00000300; -0.24692683;0.24692683;0.24692683; -0.24692683;0.24692983;0.24692983;0.24692983;0.24692983;235
0.49386239;0.49386234;0.00000270;0.00000270; -0.24692713;0.24692713;0.24692713; -0.24692713;0.24692983;0.24692983;0.24692983;0.24692983;240
0.49386212;0.49386208;0.00000244;0.00000244; -0.24692739;0.24692739;0.24692739; -0.24692739;0.24692983;0.24692983;0.24692983;0.24692983;245
