a a 2 a 0 2 a 0;a 2 a a 0 a 2 0;0 a 2 0 a 2 a a;0 2 a 0 a a 2 a;a 2 2 0 0 a a a;0 2 2 a a a a 0;a a a 0 0 2 2 a;0 a a a a 2 2 0;Z
 -0.34803538; -0.34803538;0.34803538;0.34803538;0.34803544;0.34803544; -0.34803544; -0.34803544;380
 -0.34803538; -0.34803538;0.34803538;0.34803538;0.34803544;0.34803544; -0.34803544; -0.34803544;385
 -0.34803538; -0.34803538;0.34803538;0.34803538;0.34803544;0.34803544; -0.34803544; -0.34803544;390
 -0.34803539; -0.34803539;0.34803539;0.34803539;0.34803544;0.34803544; -0.34803544; -0.34803544;395
 -0.34803539; -0.34803539;0.34803539;0.34803539;0.34803543;0.34803543; -0.34803543; -0.34803543;400
 -0.34803539; -0.34803539;0.34803539;0.34803539;0.34803543;0.34803543; -0.34803543; -0.34803543;405
 -0.34803539; -0.34803539;0.34803539;0.34803539;0.34803543;0.34803543; -0.34803543; -0.34803543;410
 -0.34803539; -0.34803539;0.34803539;0.34803539;0.34803543;0.34803543; -0.34803543; -0.34803543;415
 -0.34803539; -0.34803539;0.34803539;0.34803539;0.34803543;0.34803543; -0.34803543; -0.34803543;420
 -0.34803539; -0.34803539;0.34803539;0.34803539;0.34803543;0.34803543; -0.34803543; -0.34803543;425
 -0.34803539; -0.34803539;0.34803539;0.34803539;0.34803543;0.34803543; -0.34803543; -0.34803543;430
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803543;0.34803543; -0.34803543; -0.34803543;435
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803543;0.34803543; -0.34803543; -0.34803543;440
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803543;0.34803543; -0.34803543; -0.34803543;445
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;450
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;455
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;460
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;465
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;470
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;475
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;480
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;485
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;490
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;495
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;500
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;505
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;510
 -0.34803540; -0.34803540;0.34803540;0.34803540;0.34803542;0.34803542; -0.34803542; -0.34803542;515
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;520
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;525
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;530
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;535
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;540
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;545
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;550
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;555
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;560
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;565
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;570
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;575
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;580
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;585
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;590
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803542;0.34803542; -0.34803542; -0.34803542;595
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;600
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;605
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;610
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;615
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;620
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;625
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;630
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;635
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;640
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;645
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;650
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;655
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;660
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;665
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;670
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;675
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;680
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;685
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;690
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;695
 -0.34803541; -0.34803541;0.34803541;0.34803541;0.34803541;0.34803541; -0.34803541; -0.34803541;700
