a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 2 0 a a a 0;0 2 2 a 0 a a a;a a a 0 a 2 2 0;0 a a a 0 2 2 a;Z
0.35283632; -0.35283629;0.35283628; -0.35283625; -0.35248966; -0.35248964;0.35248963;0.35248961;100
0.35279983; -0.35279982;0.35279978; -0.35279978; -0.35252631; -0.35252630;0.35252631;0.35252630;105
0.35277217; -0.35277217;0.35277213; -0.35277213; -0.35255409; -0.35255408;0.35255409;0.35255408;110
0.35275096; -0.35275096;0.35275091; -0.35275091; -0.35257539; -0.35257538;0.35257539;0.35257538;115
0.35273450; -0.35273450;0.35273446; -0.35273446; -0.35259191; -0.35259189;0.35259191;0.35259189;120
0.35272161; -0.35272161;0.35272157; -0.35272157; -0.35260484; -0.35260483;0.35260484;0.35260483;125
0.35271142; -0.35271142;0.35271137; -0.35271137; -0.35261507; -0.35261506;0.35261507;0.35261506;130
0.35270328; -0.35270328;0.35270324; -0.35270324; -0.35262323; -0.35262321;0.35262323;0.35262321;135
0.35269674; -0.35269674;0.35269669; -0.35269669; -0.35262978; -0.35262977;0.35262978;0.35262977;140
0.35269144; -0.35269144;0.35269139; -0.35269139; -0.35263510; -0.35263508;0.35263510;0.35263508;145
0.35268711; -0.35268711;0.35268707; -0.35268707; -0.35263943; -0.35263942;0.35263943;0.35263942;150
0.35268356; -0.35268356;0.35268351; -0.35268351; -0.35264299; -0.35264298;0.35264299;0.35264298;155
0.35268062; -0.35268062;0.35268058; -0.35268058; -0.35264593; -0.35264592;0.35264593;0.35264592;160
0.35267818; -0.35267818;0.35267813; -0.35267813; -0.35264838; -0.35264837;0.35264838;0.35264837;165
0.35267614; -0.35267614;0.35267609; -0.35267609; -0.35265042; -0.35265041;0.35265042;0.35265041;170
0.35267442; -0.35267442;0.35267438; -0.35267438; -0.35265214; -0.35265213;0.35265214;0.35265213;175
0.35267298; -0.35267298;0.35267293; -0.35267293; -0.35265359; -0.35265358;0.35265359;0.35265358;180
0.35267175; -0.35267175;0.35267170; -0.35267170; -0.35265482; -0.35265480;0.35265482;0.35265480;185
0.35267070; -0.35267070;0.35267066; -0.35267066; -0.35265586; -0.35265585;0.35265586;0.35265585;190
0.35266981; -0.35266981;0.35266976; -0.35266976; -0.35265676; -0.35265675;0.35265676;0.35265675;195
0.35266904; -0.35266904;0.35266900; -0.35266900; -0.35265753; -0.35265752;0.35265753;0.35265752;200
0.35266838; -0.35266838;0.35266833; -0.35266833; -0.35265819; -0.35265818;0.35265819;0.35265818;205
0.35266781; -0.35266781;0.35266776; -0.35266776; -0.35265876; -0.35265875;0.35265876;0.35265875;210
0.35266731; -0.35266731;0.35266726; -0.35266726; -0.35265926; -0.35265925;0.35265926;0.35265925;215
0.35266688; -0.35266688;0.35266683; -0.35266683; -0.35265969; -0.35265968;0.35265969;0.35265968;220
