a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a a a a 0 2 2 0;a 2 2 a 0 a a 0;0 a a 0 a 2 2 a;0 2 2 0 a a a a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.00000011; -0.00000011;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;365
0.00000010; -0.00000010;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;370
0.00000009; -0.00000009;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;375
0.00000009; -0.00000009;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;380
0.00000008; -0.00000008;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;385
0.00000008; -0.00000008;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;390
0.00000007; -0.00000007;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;395
0.00000007; -0.00000007;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;400
0.00000006; -0.00000006;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;405
0.00000006; -0.00000006;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;410
0.00000006; -0.00000006;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;415
0.00000005; -0.00000005;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;420
0.00000005; -0.00000005;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;425
0.00000005; -0.00000005;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;430
0.00000004; -0.00000004;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;435
0.00000004; -0.00000004;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;440
