0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 a 2 a a 2 a 0;0 2 a a a a 2 0;a a 2 0 0 2 a a;a 2 a 0 0 a 2 a;Z
 -0.00000004; -0.00000004;0.48562701;0.48562687; -0.24281353;0.24281353;0.24281353; -0.24281353; -0.24281349; -0.24281349; -0.24281349; -0.24281349;280
 -0.00000004; -0.00000004;0.48562702;0.48562687; -0.24281353;0.24281353;0.24281353; -0.24281353; -0.24281349; -0.24281349; -0.24281349; -0.24281349;285
 -0.00000003; -0.00000003;0.48562702;0.48562688; -0.24281353;0.24281353;0.24281353; -0.24281353; -0.24281349; -0.24281349; -0.24281349; -0.24281349;290
 -0.00000003; -0.00000003;0.48562702;0.48562688; -0.24281352;0.24281352;0.24281352; -0.24281352; -0.24281349; -0.24281349; -0.24281349; -0.24281349;295
 -0.00000003; -0.00000003;0.48562703;0.48562689; -0.24281352;0.24281352;0.24281352; -0.24281352; -0.24281349; -0.24281349; -0.24281349; -0.24281349;300
 -0.00000003; -0.00000003;0.48562703;0.48562689; -0.24281352;0.24281352;0.24281352; -0.24281352; -0.24281349; -0.24281349; -0.24281349; -0.24281349;305
 -0.00000002; -0.00000002;0.48562703;0.48562689; -0.24281352;0.24281352;0.24281352; -0.24281352; -0.24281349; -0.24281349; -0.24281349; -0.24281349;310
 -0.00000002; -0.00000002;0.48562704;0.48562689; -0.24281352;0.24281352;0.24281352; -0.24281352; -0.24281349; -0.24281349; -0.24281349; -0.24281349;315
 -0.00000002; -0.00000002;0.48562704;0.48562690; -0.24281352;0.24281352;0.24281352; -0.24281352; -0.24281349; -0.24281349; -0.24281349; -0.24281349;320
 -0.00000002; -0.00000002;0.48562704;0.48562690; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281349; -0.24281349; -0.24281349; -0.24281349;325
 -0.00000002; -0.00000002;0.48562704;0.48562690; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281349; -0.24281349; -0.24281349; -0.24281349;330
 -0.00000002; -0.00000002;0.48562704;0.48562690; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;335
 -0.00000002; -0.00000002;0.48562705;0.48562690; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;340
 -0.00000001; -0.00000001;0.48562705;0.48562691; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;345
 -0.00000001; -0.00000001;0.48562705;0.48562691; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;350
 -0.00000001; -0.00000001;0.48562705;0.48562691; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;355
 -0.00000001; -0.00000001;0.48562705;0.48562691; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;360
 -0.00000001; -0.00000001;0.48562705;0.48562691; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;365
 -0.00000001; -0.00000001;0.48562705;0.48562691; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;370
 -0.00000001; -0.00000001;0.48562705;0.48562691; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;375
 -0.00000001; -0.00000001;0.48562706;0.48562691; -0.24281351;0.24281351;0.24281351; -0.24281351; -0.24281350; -0.24281350; -0.24281350; -0.24281350;380
