a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 2 0 a a a 0;0 2 2 a 0 a a a;a a a 0 a 2 2 0;0 a a a 0 2 2 a;Z
0.34774239; -0.34774239; -0.34774240;0.34774240; -0.34774245;0.34774250;0.34774245; -0.34774250;385
0.34774239; -0.34774239; -0.34774240;0.34774240; -0.34774245;0.34774250;0.34774245; -0.34774250;390
0.34774239; -0.34774239; -0.34774241;0.34774241; -0.34774245;0.34774249;0.34774245; -0.34774249;395
0.34774239; -0.34774239; -0.34774241;0.34774241; -0.34774245;0.34774249;0.34774245; -0.34774249;400
0.34774240; -0.34774240; -0.34774241;0.34774241; -0.34774244;0.34774249;0.34774244; -0.34774249;405
0.34774240; -0.34774240; -0.34774241;0.34774241; -0.34774244;0.34774249;0.34774244; -0.34774249;410
0.34774240; -0.34774240; -0.34774241;0.34774241; -0.34774244;0.34774249;0.34774244; -0.34774249;415
0.34774240; -0.34774240; -0.34774241;0.34774241; -0.34774244;0.34774248;0.34774244; -0.34774248;420
0.34774240; -0.34774240; -0.34774242;0.34774242; -0.34774244;0.34774248;0.34774244; -0.34774248;425
0.34774240; -0.34774240; -0.34774242;0.34774242; -0.34774244;0.34774248;0.34774244; -0.34774248;430
0.34774241; -0.34774241; -0.34774242;0.34774242; -0.34774243;0.34774248;0.34774243; -0.34774248;435
0.34774241; -0.34774241; -0.34774242;0.34774242; -0.34774243;0.34774248;0.34774243; -0.34774248;440
0.34774241; -0.34774241; -0.34774242;0.34774242; -0.34774243;0.34774248;0.34774243; -0.34774248;445
0.34774241; -0.34774241; -0.34774242;0.34774242; -0.34774243;0.34774248;0.34774243; -0.34774248;450
0.34774241; -0.34774241; -0.34774242;0.34774242; -0.34774243;0.34774248;0.34774243; -0.34774248;455
0.34774241; -0.34774241; -0.34774242;0.34774242; -0.34774243;0.34774247;0.34774243; -0.34774247;460
0.34774241; -0.34774241; -0.34774242;0.34774242; -0.34774243;0.34774247;0.34774243; -0.34774247;465
0.34774241; -0.34774241; -0.34774243;0.34774243; -0.34774243;0.34774247;0.34774243; -0.34774247;470
0.34774241; -0.34774241; -0.34774243;0.34774243; -0.34774243;0.34774247;0.34774243; -0.34774247;475
