0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 a 2 a a 2 a 0;0 2 a a a a 2 0;a a 2 0 0 2 a a;a 2 a 0 0 a 2 a;Z
0.49400438;0.49400433;0.00020983;0.00020983; -0.24668748;0.24668745;0.24668743; -0.24668740;0.24689726;0.24689726;0.24689726;0.24689726;100
0.49395875;0.49395871;0.00016402;0.00016402; -0.24673334;0.24673333;0.24673333; -0.24673332;0.24689735;0.24689735;0.24689735;0.24689735;105
0.49392457;0.49392452;0.00012971;0.00012971; -0.24676771;0.24676771;0.24676771; -0.24676771;0.24689742;0.24689742;0.24689742;0.24689742;110
0.49389861;0.49389857;0.00010366;0.00010366; -0.24679381;0.24679381;0.24679381; -0.24679381;0.24689747;0.24689747;0.24689747;0.24689747;115
0.49387867;0.49387862;0.00008364;0.00008364; -0.24681386;0.24681386;0.24681386; -0.24681386;0.24689750;0.24689750;0.24689750;0.24689750;120
0.49386317;0.49386312;0.00006809;0.00006809; -0.24682944;0.24682944;0.24682944; -0.24682944;0.24689753;0.24689753;0.24689753;0.24689753;125
0.49385101;0.49385096;0.00005588;0.00005588; -0.24684167;0.24684167;0.24684167; -0.24684167;0.24689755;0.24689755;0.24689755;0.24689755;130
0.49384137;0.49384132;0.00004621;0.00004621; -0.24685136;0.24685136;0.24685136; -0.24685136;0.24689757;0.24689757;0.24689757;0.24689757;135
0.49383367;0.49383362;0.00003848;0.00003848; -0.24685910;0.24685910;0.24685910; -0.24685910;0.24689758;0.24689758;0.24689758;0.24689758;140
0.49382746;0.49382741;0.00003225;0.00003225; -0.24686534;0.24686534;0.24686534; -0.24686534;0.24689759;0.24689759;0.24689759;0.24689759;145
0.49382242;0.49382237;0.00002719;0.00002720; -0.24687040;0.24687040;0.24687040; -0.24687040;0.24689760;0.24689760;0.24689760;0.24689760;150
0.49381830;0.49381825;0.00002306;0.00002306; -0.24687455;0.24687455;0.24687455; -0.24687455;0.24689761;0.24689761;0.24689761;0.24689761;155
0.49381491;0.49381486;0.00001966;0.00001966; -0.24687795;0.24687795;0.24687795; -0.24687795;0.24689761;0.24689761;0.24689761;0.24689761;160
0.49381210;0.49381205;0.00001684;0.00001684; -0.24688078;0.24688078;0.24688078; -0.24688078;0.24689762;0.24689762;0.24689762;0.24689762;165
0.49380976;0.49380971;0.00001450;0.00001450; -0.24688313;0.24688313;0.24688313; -0.24688313;0.24689762;0.24689762;0.24689762;0.24689762;170
0.49380781;0.49380776;0.00001253;0.00001253; -0.24688509;0.24688509;0.24688509; -0.24688509;0.24689762;0.24689762;0.24689762;0.24689762;175
0.49380616;0.49380611;0.00001088;0.00001088; -0.24688675;0.24688675;0.24688675; -0.24688675;0.24689763;0.24689763;0.24689763;0.24689763;180
0.49380476;0.49380471;0.00000948;0.00000948; -0.24688815;0.24688815;0.24688815; -0.24688815;0.24689763;0.24689763;0.24689763;0.24689763;185
0.49380358;0.49380353;0.00000829;0.00000829; -0.24688934;0.24688934;0.24688934; -0.24688934;0.24689763;0.24689763;0.24689763;0.24689763;190
0.49380257;0.49380252;0.00000728;0.00000728; -0.24689036;0.24689036;0.24689036; -0.24689036;0.24689763;0.24689763;0.24689763;0.24689763;195
0.49380170;0.49380166;0.00000641;0.00000641; -0.24689123;0.24689123;0.24689123; -0.24689123;0.24689764;0.24689764;0.24689764;0.24689764;200
0.49380096;0.49380091;0.00000566;0.00000566; -0.24689197;0.24689197;0.24689197; -0.24689197;0.24689764;0.24689764;0.24689764;0.24689764;205
0.49380032;0.49380027;0.00000502;0.00000502; -0.24689262;0.24689262;0.24689262; -0.24689262;0.24689764;0.24689764;0.24689764;0.24689764;210
0.49379976;0.49379971;0.00000446;0.00000446; -0.24689318;0.24689318;0.24689318; -0.24689318;0.24689764;0.24689764;0.24689764;0.24689764;215
0.49379928;0.49379923;0.00000397;0.00000397; -0.24689367;0.24689367;0.24689367; -0.24689367;0.24689764;0.24689764;0.24689764;0.24689764;220
0.49379885;0.49379881;0.00000355;0.00000355; -0.24689409;0.24689409;0.24689409; -0.24689409;0.24689764;0.24689764;0.24689764;0.24689764;225
0.49379849;0.49379844;0.00000318;0.00000318; -0.24689446;0.24689446;0.24689446; -0.24689446;0.24689764;0.24689764;0.24689764;0.24689764;230
0.49379816;0.49379811;0.00000285;0.00000285; -0.24689479;0.24689479;0.24689479; -0.24689479;0.24689764;0.24689764;0.24689764;0.24689764;235
0.49379788;0.49379783;0.00000257;0.00000257; -0.24689507;0.24689507;0.24689507; -0.24689507;0.24689764;0.24689764;0.24689764;0.24689764;240
0.49379762;0.49379758;0.00000232;0.00000232; -0.24689533;0.24689533;0.24689533; -0.24689533;0.24689764;0.24689764;0.24689764;0.24689764;245
0.49379740;0.49379735;0.00000209;0.00000209; -0.24689555;0.24689555;0.24689555; -0.24689555;0.24689764;0.24689764;0.24689764;0.24689764;250
0.49379721;0.49379716;0.00000190;0.00000190; -0.24689575;0.24689575;0.24689575; -0.24689575;0.24689764;0.24689764;0.24689764;0.24689764;255
0.49379703;0.49379698;0.00000172;0.00000172; -0.24689592;0.24689592;0.24689592; -0.24689592;0.24689764;0.24689764;0.24689764;0.24689764;260
0.49379687;0.49379683;0.00000156;0.00000156; -0.24689608;0.24689608;0.24689608; -0.24689608;0.24689764;0.24689764;0.24689764;0.24689764;265
0.49379674;0.49379669;0.00000142;0.00000142; -0.24689622;0.24689622;0.24689622; -0.24689622;0.24689764;0.24689764;0.24689764;0.24689764;270
0.49379661;0.49379656;0.00000130;0.00000130; -0.24689635;0.24689635;0.24689635; -0.24689635;0.24689764;0.24689764;0.24689764;0.24689764;275
0.49379650;0.49379645;0.00000119;0.00000119; -0.24689646;0.24689646;0.24689646; -0.24689646;0.24689764;0.24689764;0.24689764;0.24689764;280
0.49379640;0.49379635;0.00000109;0.00000109; -0.24689656;0.24689656;0.24689656; -0.24689656;0.24689764;0.24689764;0.24689764;0.24689764;285
0.49379631;0.49379626;0.00000099;0.00000099; -0.24689665;0.24689665;0.24689665; -0.24689665;0.24689764;0.24689764;0.24689764;0.24689764;290
0.49379623;0.49379618;0.00000091;0.00000091; -0.24689673;0.24689673;0.24689673; -0.24689673;0.24689764;0.24689764;0.24689764;0.24689764;295
0.49379615;0.49379610;0.00000084;0.00000084; -0.24689681;0.24689681;0.24689681; -0.24689681;0.24689764;0.24689764;0.24689764;0.24689764;300
