a 2 a 0 0 2 a a;0 2 a a a 2 a 0;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;a a 2 0 0 a 2 a;0 a 2 a a a 2 0;Z
0.35093421;0.35093421;0.35093212;0.35093212;0.35093207;0.35093207;0.35093419;0.35093419;200
0.35093408;0.35093408;0.35093224;0.35093224;0.35093219;0.35093219;0.35093407;0.35093407;205
0.35093398;0.35093398;0.35093234;0.35093234;0.35093230;0.35093230;0.35093397;0.35093397;210
0.35093389;0.35093389;0.35093243;0.35093243;0.35093239;0.35093239;0.35093388;0.35093388;215
0.35093381;0.35093381;0.35093251;0.35093251;0.35093247;0.35093247;0.35093380;0.35093380;220
0.35093374;0.35093374;0.35093258;0.35093258;0.35093254;0.35093254;0.35093373;0.35093373;225
0.35093368;0.35093368;0.35093264;0.35093264;0.35093260;0.35093260;0.35093367;0.35093367;230
0.35093362;0.35093362;0.35093270;0.35093270;0.35093265;0.35093265;0.35093361;0.35093361;235
0.35093358;0.35093358;0.35093274;0.35093274;0.35093270;0.35093270;0.35093357;0.35093357;240
0.35093354;0.35093354;0.35093278;0.35093278;0.35093274;0.35093274;0.35093352;0.35093352;245
0.35093350;0.35093350;0.35093282;0.35093282;0.35093277;0.35093277;0.35093349;0.35093349;250
0.35093347;0.35093347;0.35093285;0.35093285;0.35093281;0.35093281;0.35093345;0.35093345;255
0.35093344;0.35093344;0.35093288;0.35093288;0.35093284;0.35093284;0.35093342;0.35093342;260
0.35093341;0.35093341;0.35093291;0.35093291;0.35093286;0.35093286;0.35093340;0.35093340;265
0.35093339;0.35093339;0.35093293;0.35093293;0.35093288;0.35093288;0.35093338;0.35093338;270
0.35093337;0.35093337;0.35093295;0.35093295;0.35093291;0.35093291;0.35093335;0.35093335;275
0.35093335;0.35093335;0.35093297;0.35093297;0.35093292;0.35093292;0.35093334;0.35093334;280
0.35093333;0.35093333;0.35093299;0.35093299;0.35093294;0.35093294;0.35093332;0.35093332;285
0.35093332;0.35093332;0.35093300;0.35093300;0.35093296;0.35093296;0.35093330;0.35093330;290
0.35093330;0.35093330;0.35093301;0.35093301;0.35093297;0.35093297;0.35093329;0.35093329;295
0.35093329;0.35093329;0.35093303;0.35093303;0.35093298;0.35093298;0.35093328;0.35093328;300
0.35093328;0.35093328;0.35093304;0.35093304;0.35093299;0.35093299;0.35093327;0.35093327;305
0.35093327;0.35093327;0.35093305;0.35093305;0.35093300;0.35093300;0.35093326;0.35093326;310
0.35093326;0.35093326;0.35093306;0.35093306;0.35093301;0.35093301;0.35093325;0.35093325;315
0.35093325;0.35093325;0.35093306;0.35093306;0.35093302;0.35093302;0.35093324;0.35093324;320
0.35093324;0.35093324;0.35093307;0.35093307;0.35093303;0.35093303;0.35093323;0.35093323;325
0.35093324;0.35093324;0.35093308;0.35093308;0.35093303;0.35093303;0.35093323;0.35093323;330
0.35093323;0.35093323;0.35093309;0.35093309;0.35093304;0.35093304;0.35093322;0.35093322;335
0.35093323;0.35093323;0.35093309;0.35093309;0.35093305;0.35093305;0.35093321;0.35093321;340
0.35093322;0.35093322;0.35093310;0.35093310;0.35093305;0.35093305;0.35093321;0.35093321;345
0.35093321;0.35093321;0.35093310;0.35093310;0.35093306;0.35093306;0.35093320;0.35093320;350
0.35093321;0.35093321;0.35093311;0.35093311;0.35093306;0.35093306;0.35093320;0.35093320;355
0.35093321;0.35093321;0.35093311;0.35093311;0.35093306;0.35093306;0.35093319;0.35093319;360
0.35093320;0.35093320;0.35093311;0.35093311;0.35093307;0.35093307;0.35093319;0.35093319;365
0.35093320;0.35093320;0.35093312;0.35093312;0.35093307;0.35093307;0.35093319;0.35093319;370
0.35093320;0.35093320;0.35093312;0.35093312;0.35093307;0.35093307;0.35093318;0.35093318;375
0.35093319;0.35093319;0.35093312;0.35093312;0.35093308;0.35093308;0.35093318;0.35093318;380
0.35093319;0.35093319;0.35093313;0.35093313;0.35093308;0.35093308;0.35093318;0.35093318;385
0.35093319;0.35093319;0.35093313;0.35093313;0.35093308;0.35093308;0.35093318;0.35093318;390
0.35093319;0.35093319;0.35093313;0.35093313;0.35093309;0.35093309;0.35093317;0.35093317;395
0.35093318;0.35093318;0.35093313;0.35093313;0.35093309;0.35093309;0.35093317;0.35093317;400
0.35093318;0.35093318;0.35093313;0.35093313;0.35093309;0.35093309;0.35093317;0.35093317;405
0.35093318;0.35093318;0.35093314;0.35093314;0.35093309;0.35093309;0.35093317;0.35093317;410
0.35093318;0.35093318;0.35093314;0.35093314;0.35093309;0.35093309;0.35093317;0.35093317;415
0.35093318;0.35093318;0.35093314;0.35093314;0.35093309;0.35093309;0.35093316;0.35093316;420
0.35093317;0.35093317;0.35093314;0.35093314;0.35093310;0.35093310;0.35093316;0.35093316;425
0.35093317;0.35093317;0.35093314;0.35093314;0.35093310;0.35093310;0.35093316;0.35093316;430
0.35093317;0.35093317;0.35093314;0.35093314;0.35093310;0.35093310;0.35093316;0.35093316;435
0.35093317;0.35093317;0.35093315;0.35093315;0.35093310;0.35093310;0.35093316;0.35093316;440
0.35093317;0.35093317;0.35093315;0.35093315;0.35093310;0.35093310;0.35093316;0.35093316;445
0.35093317;0.35093317;0.35093315;0.35093315;0.35093310;0.35093310;0.35093316;0.35093316;450
0.35093317;0.35093317;0.35093315;0.35093315;0.35093310;0.35093310;0.35093316;0.35093316;455
0.35093317;0.35093317;0.35093315;0.35093315;0.35093310;0.35093310;0.35093315;0.35093315;460
0.35093317;0.35093317;0.35093315;0.35093315;0.35093311;0.35093311;0.35093315;0.35093315;465
0.35093316;0.35093316;0.35093315;0.35093315;0.35093311;0.35093311;0.35093315;0.35093315;470
0.35093316;0.35093316;0.35093315;0.35093315;0.35093311;0.35093311;0.35093315;0.35093315;475
0.35093316;0.35093316;0.35093315;0.35093315;0.35093311;0.35093311;0.35093315;0.35093315;480
0.35093316;0.35093316;0.35093315;0.35093315;0.35093311;0.35093311;0.35093315;0.35093315;485
