0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;Z
 -0.70189906;0.70189906;0.00005143; -0.00005143; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000001;0.00000002;0.00000002;0.00000002;100
 -0.70189936;0.70189936;0.00004008; -0.00004008; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;105
 -0.70189958;0.70189958;0.00003160; -0.00003160; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;110
 -0.70189975;0.70189975;0.00002519; -0.00002519; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;115
 -0.70189987;0.70189987;0.00002028; -0.00002028; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;120
 -0.70189997;0.70189997;0.00001648; -0.00001648; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;125
 -0.70190005;0.70190005;0.00001350; -0.00001350; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;130
 -0.70190011;0.70190011;0.00001114; -0.00001114; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;135
 -0.70190016;0.70190016;0.00000926; -0.00000926; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;140
 -0.70190020;0.70190020;0.00000775; -0.00000775; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;145
 -0.70190023;0.70190023;0.00000653; -0.00000653; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;150
 -0.70190026;0.70190026;0.00000553; -0.00000553; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;155
 -0.70190028;0.70190028;0.00000471; -0.00000471; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;160
 -0.70190030;0.70190030;0.00000403; -0.00000403; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;165
 -0.70190031;0.70190031;0.00000347; -0.00000347; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;170
 -0.70190033;0.70190033;0.00000299; -0.00000299; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;175
 -0.70190034;0.70190034;0.00000260; -0.00000260; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;180
 -0.70190035;0.70190035;0.00000226; -0.00000226; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;185
 -0.70190035;0.70190035;0.00000198; -0.00000198; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;190
 -0.70190036;0.70190036;0.00000173; -0.00000173; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;195
 -0.70190036;0.70190036;0.00000153; -0.00000153; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;200
 -0.70190037;0.70190037;0.00000135; -0.00000135; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;205
 -0.70190037;0.70190037;0.00000119; -0.00000119; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;210
 -0.70190038;0.70190038;0.00000106; -0.00000106; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;215
 -0.70190038;0.70190038;0.00000094; -0.00000094; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;220
 -0.70190038;0.70190038;0.00000084; -0.00000084; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;225
 -0.70190038;0.70190038;0.00000076; -0.00000076; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;230
 -0.70190039;0.70190039;0.00000068; -0.00000068; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;235
 -0.70190039;0.70190039;0.00000061; -0.00000061; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;240
 -0.70190039;0.70190039;0.00000055; -0.00000055; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;245
 -0.70190039;0.70190039;0.00000050; -0.00000050; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;250
 -0.70190039;0.70190039;0.00000045; -0.00000045; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;255
 -0.70190039;0.70190039;0.00000041; -0.00000041; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;260
 -0.70190039;0.70190039;0.00000037; -0.00000037; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;265
 -0.70190040;0.70190040;0.00000034; -0.00000034; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;270
 -0.70190040;0.70190040;0.00000031; -0.00000031; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;275
 -0.70190040;0.70190040;0.00000028; -0.00000028; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;280
 -0.70190040;0.70190040;0.00000026; -0.00000026; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;285
 -0.70190040;0.70190040;0.00000024; -0.00000024; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;290
 -0.70190040;0.70190040;0.00000022; -0.00000022; -0.00000002;0.00000002;0.00000002; -0.00000002;0.00000002;0.00000002;0.00000002;0.00000002;295
