a a 2 a 0 2 a 0;a 2 a a 0 a 2 0;0 a 2 0 a 2 a a;0 2 a 0 a a 2 a;a 2 2 0 0 a a a;a a a 0 0 2 2 a;0 2 2 a a a a 0;0 a a a a 2 2 0;Z
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;545
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;550
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;555
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;560
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;565
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;570
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;575
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;580
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;585
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;590
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;595
0.35095021;0.35095021; -0.35095021; -0.35095021;0.35095020; -0.35095020;0.35095020; -0.35095020;600
