0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.70365571; -0.70365571; -0.00020810;0.00020810; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000001;0.00000000;0.00000000;100
0.70365598; -0.70365598; -0.00016675;0.00016675; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;105
0.70365619; -0.70365619; -0.00013477;0.00013477; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;110
0.70365635; -0.70365635; -0.00010980;0.00010980; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;115
0.70365648; -0.70365648; -0.00009013;0.00009013; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;120
0.70365657; -0.70365657; -0.00007450;0.00007450; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;125
0.70365665; -0.70365665; -0.00006199;0.00006199; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;130
0.70365671; -0.70365671; -0.00005189;0.00005189; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;135
0.70365676; -0.70365676; -0.00004370;0.00004370; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;140
0.70365680; -0.70365680; -0.00003699;0.00003699; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;145
0.70365683; -0.70365683; -0.00003148;0.00003148; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;150
0.70365686; -0.70365686; -0.00002692;0.00002692; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;155
0.70365688; -0.70365688; -0.00002312;0.00002312; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;160
0.70365690; -0.70365690; -0.00001994;0.00001994; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;165
0.70365692; -0.70365692; -0.00001728;0.00001728; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;170
0.70365693; -0.70365693; -0.00001502;0.00001502; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;175
0.70365694; -0.70365694; -0.00001311;0.00001311; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;180
0.70365695; -0.70365695; -0.00001148;0.00001148; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;185
0.70365696; -0.70365696; -0.00001009;0.00001009; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;190
0.70365696; -0.70365696; -0.00000889;0.00000889; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;195
0.70365697; -0.70365697; -0.00000786;0.00000786; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;200
0.70365697; -0.70365697; -0.00000697;0.00000697; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;205
0.70365698; -0.70365698; -0.00000620;0.00000620; -0.00000000;0.00000000;0.00000000; -0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;210
