0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;Z
0.00005228; -0.00005228;0.69606920; -0.69606920;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;100
0.00004074; -0.00004074;0.69606952; -0.69606952;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;105
0.00003213; -0.00003213;0.69606977; -0.69606976;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;110
0.00002561; -0.00002561;0.69606996; -0.69606996;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;115
0.00002062; -0.00002062;0.69607012; -0.69607011;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;120
0.00001675; -0.00001675;0.69607024; -0.69607023;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;125
0.00001372; -0.00001372;0.69607034; -0.69607033;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;130
0.00001133; -0.00001133;0.69607041; -0.69607041;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;135
0.00000942; -0.00000942;0.69607048; -0.69607048;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;140
0.00000788; -0.00000788;0.69607053; -0.69607053;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;145
0.00000664; -0.00000664;0.69607058; -0.69607057;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;150
0.00000562; -0.00000562;0.69607061; -0.69607061;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;155
0.00000479; -0.00000479;0.69607064; -0.69607064;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;160
0.00000410; -0.00000410;0.69607067; -0.69607066;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;165
0.00000352; -0.00000352;0.69607069; -0.69607068;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;170
0.00000304; -0.00000304;0.69607071; -0.69607070;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;175
0.00000264; -0.00000264;0.69607072; -0.69607072;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;180
0.00000230; -0.00000230;0.69607073; -0.69607073;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;185
0.00000201; -0.00000201;0.69607075; -0.69607074;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;190
0.00000176; -0.00000176;0.69607075; -0.69607075;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;195
0.00000155; -0.00000155;0.69607076; -0.69607076;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;200
0.00000137; -0.00000137;0.69607077; -0.69607077;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;205
0.00000121; -0.00000121;0.69607078; -0.69607077;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;210
0.00000108; -0.00000108;0.69607078; -0.69607078;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;215
0.00000096; -0.00000096;0.69607079; -0.69607078;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;220
0.00000086; -0.00000086;0.69607079; -0.69607079;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;225
0.00000077; -0.00000077;0.69607079; -0.69607079;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;230
0.00000069; -0.00000069;0.69607080; -0.69607079;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;235
0.00000062; -0.00000062;0.69607080; -0.69607080;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;240
0.00000056; -0.00000056;0.69607080; -0.69607080;0.00000005; -0.00000005; -0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;0.00000005;245
