a 2 a 0 0 2 a a;0 2 a a a 2 a 0;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;a a 2 0 0 a 2 a;0 a 2 a a a 2 0;Z
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774243; -0.34774243;550
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774243; -0.34774243;555
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774243; -0.34774243;560
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774243; -0.34774243;565
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774243; -0.34774243;570
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774243; -0.34774243;575
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774243; -0.34774243;580
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774244; -0.34774244;585
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774244; -0.34774244;590
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774244; -0.34774244;595
 -0.34774242; -0.34774242;0.34774242;0.34774242;0.34774246;0.34774246; -0.34774244; -0.34774244;600
