0 a 2 0 a a 2 a;a a 2 a 0 a 2 0;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;0 a a a 0 2 2 a;a a a 0 a 2 2 0;a 2 2 0 a a a 0;Z
 -0.35274370;0.35274370;0.35274363; -0.35274363; -0.35274340;0.35274340;0.35274336; -0.35274336;390
 -0.35274369;0.35274369;0.35274362; -0.35274362; -0.35274341;0.35274341;0.35274337; -0.35274337;395
 -0.35274368;0.35274368;0.35274361; -0.35274361; -0.35274341;0.35274341;0.35274338; -0.35274338;400
 -0.35274367;0.35274367;0.35274360; -0.35274360; -0.35274342;0.35274342;0.35274339; -0.35274339;405
 -0.35274366;0.35274366;0.35274360; -0.35274360; -0.35274343;0.35274343;0.35274340; -0.35274340;410
 -0.35274366;0.35274366;0.35274359; -0.35274359; -0.35274343;0.35274343;0.35274340; -0.35274340;415
 -0.35274365;0.35274365;0.35274358; -0.35274358; -0.35274344;0.35274344;0.35274341; -0.35274341;420
 -0.35274365;0.35274365;0.35274358; -0.35274358; -0.35274345;0.35274345;0.35274341; -0.35274341;425
 -0.35274364;0.35274364;0.35274357; -0.35274357; -0.35274345;0.35274345;0.35274342; -0.35274342;430
 -0.35274364;0.35274364;0.35274357; -0.35274357; -0.35274346;0.35274346;0.35274342; -0.35274342;435
 -0.35274363;0.35274363;0.35274356; -0.35274356; -0.35274346;0.35274346;0.35274343; -0.35274343;440
 -0.35274363;0.35274363;0.35274356; -0.35274356; -0.35274347;0.35274347;0.35274343; -0.35274343;445
 -0.35274362;0.35274362;0.35274356; -0.35274356; -0.35274347;0.35274347;0.35274344; -0.35274344;450
 -0.35274362;0.35274362;0.35274355; -0.35274355; -0.35274347;0.35274347;0.35274344; -0.35274344;455
 -0.35274362;0.35274362;0.35274355; -0.35274355; -0.35274348;0.35274348;0.35274344; -0.35274344;460
 -0.35274361;0.35274361;0.35274355; -0.35274355; -0.35274348;0.35274348;0.35274345; -0.35274345;465
 -0.35274361;0.35274361;0.35274354; -0.35274354; -0.35274348;0.35274348;0.35274345; -0.35274345;470
 -0.35274361;0.35274361;0.35274354; -0.35274354; -0.35274349;0.35274349;0.35274345; -0.35274345;475
 -0.35274360;0.35274360;0.35274354; -0.35274354; -0.35274349;0.35274349;0.35274346; -0.35274346;480
 -0.35274360;0.35274360;0.35274353; -0.35274353; -0.35274349;0.35274349;0.35274346; -0.35274346;485
 -0.35274360;0.35274360;0.35274353; -0.35274353; -0.35274349;0.35274349;0.35274346; -0.35274346;490
 -0.35274360;0.35274360;0.35274353; -0.35274353; -0.35274350;0.35274350;0.35274346; -0.35274346;495
 -0.35274360;0.35274360;0.35274353; -0.35274353; -0.35274350;0.35274350;0.35274346; -0.35274346;500
 -0.35274359;0.35274359;0.35274353; -0.35274353; -0.35274350;0.35274350;0.35274347; -0.35274347;505
 -0.35274359;0.35274359;0.35274352; -0.35274352; -0.35274350;0.35274350;0.35274347; -0.35274347;510
 -0.35274359;0.35274359;0.35274352; -0.35274352; -0.35274350;0.35274350;0.35274347; -0.35274347;515
 -0.35274359;0.35274359;0.35274352; -0.35274352; -0.35274350;0.35274350;0.35274347; -0.35274347;520
 -0.35274359;0.35274359;0.35274352; -0.35274352; -0.35274351;0.35274351;0.35274347; -0.35274347;525
 -0.35274359;0.35274359;0.35274352; -0.35274352; -0.35274351;0.35274351;0.35274347; -0.35274347;530
 -0.35274358;0.35274358;0.35274352; -0.35274352; -0.35274351;0.35274351;0.35274348; -0.35274348;535
 -0.35274358;0.35274358;0.35274352; -0.35274352; -0.35274351;0.35274351;0.35274348; -0.35274348;540
 -0.35274358;0.35274358;0.35274351; -0.35274351; -0.35274351;0.35274351;0.35274348; -0.35274348;545
 -0.35274358;0.35274358;0.35274351; -0.35274351; -0.35274351;0.35274351;0.35274348; -0.35274348;550
 -0.35274358;0.35274358;0.35274351; -0.35274351; -0.35274351;0.35274351;0.35274348; -0.35274348;555
 -0.35274358;0.35274358;0.35274351; -0.35274351; -0.35274351;0.35274351;0.35274348; -0.35274348;560
 -0.35274358;0.35274358;0.35274351; -0.35274351; -0.35274352;0.35274352;0.35274348; -0.35274348;565
 -0.35274358;0.35274358;0.35274351; -0.35274351; -0.35274352;0.35274352;0.35274348; -0.35274348;570
 -0.35274358;0.35274358;0.35274351; -0.35274351; -0.35274352;0.35274352;0.35274348; -0.35274348;575
 -0.35274357;0.35274357;0.35274351; -0.35274351; -0.35274352;0.35274352;0.35274349; -0.35274349;580
 -0.35274357;0.35274357;0.35274351; -0.35274351; -0.35274352;0.35274352;0.35274349; -0.35274349;585
 -0.35274357;0.35274357;0.35274351; -0.35274351; -0.35274352;0.35274352;0.35274349; -0.35274349;590
 -0.35274357;0.35274357;0.35274350; -0.35274350; -0.35274352;0.35274352;0.35274349; -0.35274349;595
 -0.35274357;0.35274357;0.35274350; -0.35274350; -0.35274352;0.35274352;0.35274349; -0.35274349;600
