0 a 2 0 a a 2 a;a a 2 a 0 a 2 0;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;0 a a a 0 2 2 a;a a a 0 a 2 2 0;a 2 2 0 a a a 0;Z
 -0.35274756;0.35274756;0.35274750; -0.35274750; -0.35273950;0.35273950;0.35273947; -0.35273947;200
 -0.35274709;0.35274709;0.35274703; -0.35274703; -0.35273997;0.35273997;0.35273994; -0.35273994;205
 -0.35274669;0.35274669;0.35274662; -0.35274662; -0.35274038;0.35274038;0.35274035; -0.35274035;210
 -0.35274634;0.35274634;0.35274627; -0.35274627; -0.35274073;0.35274073;0.35274070; -0.35274070;215
 -0.35274604;0.35274604;0.35274597; -0.35274597; -0.35274104;0.35274104;0.35274101; -0.35274101;220
 -0.35274577;0.35274577;0.35274570; -0.35274570; -0.35274131;0.35274131;0.35274127; -0.35274127;225
 -0.35274554;0.35274554;0.35274547; -0.35274547; -0.35274154;0.35274154;0.35274151; -0.35274151;230
 -0.35274534;0.35274534;0.35274527; -0.35274527; -0.35274175;0.35274175;0.35274171; -0.35274171;235
 -0.35274516;0.35274516;0.35274509; -0.35274509; -0.35274193;0.35274193;0.35274189; -0.35274189;240
 -0.35274500;0.35274500;0.35274493; -0.35274493; -0.35274208;0.35274208;0.35274205; -0.35274205;245
 -0.35274486;0.35274486;0.35274479; -0.35274479; -0.35274223;0.35274223;0.35274219; -0.35274219;250
 -0.35274474;0.35274474;0.35274467; -0.35274467; -0.35274235;0.35274235;0.35274232; -0.35274232;255
 -0.35274463;0.35274463;0.35274456; -0.35274456; -0.35274246;0.35274246;0.35274243; -0.35274243;260
 -0.35274453;0.35274453;0.35274446; -0.35274446; -0.35274256;0.35274256;0.35274253; -0.35274253;265
 -0.35274444;0.35274444;0.35274437; -0.35274437; -0.35274265;0.35274265;0.35274261; -0.35274261;270
 -0.35274436;0.35274436;0.35274430; -0.35274430; -0.35274272;0.35274272;0.35274269; -0.35274269;275
 -0.35274429;0.35274429;0.35274423; -0.35274423; -0.35274280;0.35274280;0.35274276; -0.35274276;280
 -0.35274423;0.35274423;0.35274416; -0.35274416; -0.35274286;0.35274286;0.35274283; -0.35274283;285
 -0.35274417;0.35274417;0.35274411; -0.35274411; -0.35274292;0.35274292;0.35274288; -0.35274288;290
 -0.35274412;0.35274412;0.35274406; -0.35274406; -0.35274297;0.35274297;0.35274293; -0.35274293;295
 -0.35274408;0.35274408;0.35274401; -0.35274401; -0.35274301;0.35274301;0.35274298; -0.35274298;300
 -0.35274404;0.35274404;0.35274397; -0.35274397; -0.35274305;0.35274305;0.35274302; -0.35274302;305
 -0.35274400;0.35274400;0.35274393; -0.35274393; -0.35274309;0.35274309;0.35274306; -0.35274306;310
 -0.35274396;0.35274396;0.35274390; -0.35274390; -0.35274313;0.35274313;0.35274309; -0.35274309;315
 -0.35274393;0.35274393;0.35274387; -0.35274387; -0.35274316;0.35274316;0.35274313; -0.35274313;320
 -0.35274390;0.35274390;0.35274384; -0.35274384; -0.35274319;0.35274319;0.35274315; -0.35274315;325
 -0.35274388;0.35274388;0.35274381; -0.35274381; -0.35274321;0.35274321;0.35274318; -0.35274318;330
 -0.35274386;0.35274386;0.35274379; -0.35274379; -0.35274324;0.35274324;0.35274320; -0.35274320;335
 -0.35274383;0.35274383;0.35274377; -0.35274377; -0.35274326;0.35274326;0.35274322; -0.35274322;340
 -0.35274381;0.35274381;0.35274375; -0.35274375; -0.35274328;0.35274328;0.35274324; -0.35274324;345
 -0.35274380;0.35274380;0.35274373; -0.35274373; -0.35274330;0.35274330;0.35274326; -0.35274326;350
 -0.35274378;0.35274378;0.35274371; -0.35274371; -0.35274331;0.35274331;0.35274328; -0.35274328;355
 -0.35274376;0.35274376;0.35274370; -0.35274370; -0.35274333;0.35274333;0.35274329; -0.35274329;360
 -0.35274375;0.35274375;0.35274368; -0.35274368; -0.35274334;0.35274334;0.35274331; -0.35274331;365
 -0.35274374;0.35274374;0.35274367; -0.35274367; -0.35274335;0.35274335;0.35274332; -0.35274332;370
 -0.35274373;0.35274373;0.35274366; -0.35274366; -0.35274337;0.35274337;0.35274333; -0.35274333;375
 -0.35274371;0.35274371;0.35274365; -0.35274365; -0.35274338;0.35274338;0.35274334; -0.35274334;380
 -0.35274370;0.35274370;0.35274364; -0.35274364; -0.35274339;0.35274339;0.35274335; -0.35274335;385
