a 2 a 0 0 2 a a;0 2 a a a 2 a 0;a a 2 0 a 2 a 0;a 2 a 0 a a 2 0;0 a 2 a 0 2 a a;0 2 a a 0 a 2 a;a a 2 0 0 a 2 a;0 a 2 a a a 2 0;Z
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;345
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;350
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;355
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;360
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;365
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;370
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;375
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;380
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;385
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;390
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;395
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;400
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;405
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;410
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;415
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;420
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;425
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;430
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;435
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;440
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;445
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;450
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;455
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;460
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;465
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;470
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;475
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;480
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;485
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;490
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;495
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;500
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;505
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;510
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;515
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;520
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;525
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;530
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;535
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;540
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;545
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;550
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;555
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;560
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;565
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;570
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;575
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;580
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;585
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;590
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;595
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;600
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;605
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;610
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;615
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;620
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;625
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;630
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;635
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;640
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;645
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;650
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;655
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;660
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;665
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;670
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;675
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;680
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;685
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;690
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;695
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;700
