a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 a 2 0 a a 2 a;a a 2 a 0 a 2 0;a 2 2 0 a a a 0;a a a 0 a 2 2 0;0 a a a 0 2 2 a;0 2 2 a 0 a a a;Z
0.34603635; -0.34603635; -0.34603640;0.34603640;0.34603651; -0.34603651; -0.34603653;0.34603653;485
0.34603636; -0.34603636; -0.34603640;0.34603640;0.34603651; -0.34603651; -0.34603652;0.34603652;490
0.34603636; -0.34603636; -0.34603641;0.34603641;0.34603651; -0.34603651; -0.34603652;0.34603652;495
0.34603636; -0.34603636; -0.34603641;0.34603641;0.34603650; -0.34603650; -0.34603652;0.34603652;500
0.34603637; -0.34603637; -0.34603641;0.34603641;0.34603650; -0.34603650; -0.34603651;0.34603651;505
0.34603637; -0.34603637; -0.34603642;0.34603642;0.34603650; -0.34603650; -0.34603651;0.34603651;510
0.34603637; -0.34603637; -0.34603642;0.34603642;0.34603650; -0.34603650; -0.34603651;0.34603651;515
0.34603638; -0.34603638; -0.34603642;0.34603642;0.34603649; -0.34603649; -0.34603651;0.34603651;520
0.34603638; -0.34603638; -0.34603642;0.34603642;0.34603649; -0.34603649; -0.34603650;0.34603650;525
0.34603638; -0.34603638; -0.34603643;0.34603643;0.34603649; -0.34603649; -0.34603650;0.34603650;530
0.34603638; -0.34603638; -0.34603643;0.34603643;0.34603649; -0.34603649; -0.34603650;0.34603650;535
0.34603638; -0.34603638; -0.34603643;0.34603643;0.34603648; -0.34603648; -0.34603650;0.34603650;540
0.34603639; -0.34603639; -0.34603643;0.34603643;0.34603648; -0.34603648; -0.34603649;0.34603649;545
0.34603639; -0.34603639; -0.34603643;0.34603643;0.34603648; -0.34603648; -0.34603649;0.34603649;550
0.34603639; -0.34603639; -0.34603643;0.34603643;0.34603648; -0.34603648; -0.34603649;0.34603649;555
0.34603639; -0.34603639; -0.34603644;0.34603644;0.34603648; -0.34603648; -0.34603649;0.34603649;560
0.34603639; -0.34603639; -0.34603644;0.34603644;0.34603648; -0.34603648; -0.34603649;0.34603649;565
0.34603639; -0.34603639; -0.34603644;0.34603644;0.34603647; -0.34603647; -0.34603649;0.34603649;570
0.34603640; -0.34603640; -0.34603644;0.34603644;0.34603647; -0.34603647; -0.34603649;0.34603649;575
0.34603640; -0.34603640; -0.34603644;0.34603644;0.34603647; -0.34603647; -0.34603648;0.34603648;580
0.34603640; -0.34603640; -0.34603644;0.34603644;0.34603647; -0.34603647; -0.34603648;0.34603648;585
0.34603640; -0.34603640; -0.34603644;0.34603644;0.34603647; -0.34603647; -0.34603648;0.34603648;590
0.34603640; -0.34603640; -0.34603645;0.34603645;0.34603647; -0.34603647; -0.34603648;0.34603648;595
0.34603640; -0.34603640; -0.34603645;0.34603645;0.34603647; -0.34603647; -0.34603648;0.34603648;600
